Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
11,19-0724-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for supplies,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,297920 Other Government Funded - Support Services,"442183 21st Century Community Learning Centers (Cohort
19-Grant 4) Fy19",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221011 Improvement Of Instruction,"442183 21st Century Community Learning Centers (Cohort
19-Grant 4) Fy19","$1,000",
12,19-0724-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for supplies,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,297920 Other Government Funded - Support Services,"442180 21st Century Community Learning Centers (Cohort
19-Grant 1) Fy19",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221011 Improvement Of Instruction,"442180 21st Century Community Learning Centers (Cohort
19-Grant 1) Fy19","$1,000",
13,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to Holy Family Lutheran,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430219 Nonpublic Inst. & Supp. Serv. - Catholic,69478 Holy Family Lutheran,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430222 Nonpublic Inst. & Supp. Serv. - Lutheran,"$1,000",
14,19-0724-EX1,Transfer from Sports Administration and Facilities Management - City Wide to Education General - City Wide,Over-allocated funds in past transfer.,"13737 Sports Administration and Facilities Management - City
Wide",124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,150005 High School Sports,000867 Sports Administration Revenue,12670 Education General - City Wide,124,57915,600005 150900,,"$1,000","School Special Income Fund
Miscellaneous - Contingent Projects
Special Income Fund 124 - Contingency
Grants - Supplemental"
15,19-0724-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for travel costs,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,297920 Other Government Funded - Support Services,"442180 21st Century Community Learning Centers (Cohort
19-Grant 1) Fy19",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54215 Car Fare,221021 Other Gfp-Improv Of Instr,"442180 21st Century Community Learning Centers (Cohort
19-Grant 1) Fy19","$1,000",
16,19-0724-EX1,Transfer from Talent Office to Talent Office,Ex Director attending a conference on Jun 24th conference.,11010 Talent Office,115 General Education Fund,53405 Commodities - Supplies,262005 000000,,11010 Talent Office,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",262005 Educator Effectiveness,000000 Default Value,"$1,000","Educator Effectiveness
Default Value"
17,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to Lawrence Hall Youth Services,Transfer funds to process approved purchase order requests for Neglected Programs,12625 Grant Funded Programs Office - City Wide,334 NCLB Title 1 - Neglected & Delinquent,57915 Miscellaneous - Contingent Projects,125008 Title I - Neglected & Delinquent Programs,430525 Neglected Programs Fy19,69048 Lawrence Hall Youth Services,334 NCLB Title 1 - Neglected & Delinquent,54125 Services - Professional/Administrative,125008 Title I - Neglected & Delinquent Programs,430525 Neglected Programs Fy19,"$1,000",
18,19-0724-EX1,Transfer from Information & Technology Services to Information & Technology Services,Car fare reimbursements,12510 Information & Technology Services,115 General Education Fund,54405 Services - Telephone & Telegraph,254501 Telecom (Non E-Rate),000000 Default Value,12510 Information & Technology Services,115 General Education Fund,54215 Car Fare,266101 Business Services,000000 Default Value,"$1,000",
19,19-0724-EX1,Transfer from Early Childhood Development - City Wide to Early Childhood Development - City Wide,Transfer of funds need for travel expenses.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,53405 Commodities - Supplies,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,11385 Early Childhood Development - City Wide,362 Early Childhood Development,54205 Travel Expense,221234 Professional Develop/Curriculum Develp,376669 State Preschool For All Age 3-5 Fy19,"$1,000",
20,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to St Procopius School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69251 St Procopius School,353 Title II - Teacher Quality,55005 Property - Equipment,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,005",
21,19-0724-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Counseling and Postsecondary Advising - City Wide,TRIO summer college tours,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53304 Instructional Materials (Digital),221011 Improvement Of Instruction,548047 Trio - Talent Search Fy19,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,221011 Improvement Of Instruction,548047 Trio - Talent Search Fy19,"$1,008",
22,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to Annunciata,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic",69040 Annunciata,358 Title IV,53405 Commodities - Supplies,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic","$1,009",
23,19-0724-EX1,Transfer from Facility Operations & Maintenance to Facility Operations & Maintenance,Transfers per dept request,11860 Facility Operations & Maintenance,230 Public Building Commission O & M,54125 Services - Professional/Administrative,253522 Environment,000000 Default Value,11860 Facility Operations & Maintenance,230 Public Building Commission O & M,55005 Property - Equipment,254009 Central Office Operations,000000 Default Value,"$1,009",
24,19-0724-EX1,Transfer from Office of Catholic Schools to Christian Affiliate Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title III Immigrant programs,69510 Office of Catholic Schools,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),490944 Title Iii - Iep,69237 Christian Affiliate Schools,356 ELL & Bilingual Programs,53405 Commodities - Supplies,228952 Federal - Nonpublic Inst (Christian),490943 Title Iii - Lmtd. Eng. Prf. - Nonpublic,"$1,011",
25,19-0724-EX1,Transfer from Early College and Career - City Wide to William J Bogan High School,CTE Entrepreneurship Program Supplies,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,119035 Other Instruction Purposes - Miscellaneous,474566 Special Student Needs-C. Perkins Fy19,46041 William J Bogan High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,149014 Product Marketing / Entrepreneurship,474566 Special Student Needs-C. Perkins Fy19,"$1,016",
26,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic",69510 Office of Catholic Schools,358 Title IV,54130 Services - Non Professional,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic","$1,018",
27,19-0724-EX1,Transfer from Network 1 to Network 1,"Note 1: $6,500 for PO for Vendor 44218 for Prussing
Note 1: $3,520 for PO for Vendor 44218 for Portage Park",02411 Network 1,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000025 Osse Attendance Project,02411 Network 1,115 General Education Fund,53405 Commodities - Supplies,211210 Attendance Services,000025 Osse Attendance Project,"$1,020",
28,19-0724-EX1,Transfer from Richard Edwards Elementary School to Citywide Student Support and Engagement,Pulling back funds for summer PO,23081 Richard Edwards Elementary School,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,442171 21st Century Community Learning Centers Fy19,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,390008 Other Government Funded - Community Services,442171 21st Century Community Learning Centers Fy19,"$1,024",
29,19-0724-EX1,Transfer from Department of Personalized Learning to Department of Personalized Learning,Clear year-end negatives.,10825 Department of Personalized Learning,124 School Special Income Fund,51300 Regular Position Pointer,290001 070157,,10825 Department of Personalized Learning,124 School Special Income Fund,51140 Termination Payout of Sick & Vacation Days Teachers,221001 School Instructional Support Services,070157 Cff - Silicon Valley Community Foundation,"$1,041","General Salary S Bkt
Cff - Silicon Valley Community Foundation"
30,19-0724-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,Transfer funds for seminar and fees.,13727 Early College and Career - City Wide,115 General Education Fund,54210 Pupil Transportation,125023 008011,,13727 Early College and Career - City Wide,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",125023 Stem - Extended Student Learning,008011 Stem Programs,"$1,050","Stem - Extended Student Learning
Stem Programs"
31,19-0724-EX1,"Transfer from Science, Technology, Engineering, and Math (STEM) programs to Instructional Supports",EXPIRED GRANT - Transfer needed to realign budget.,"10871 Science, Technology, Engineering, and Math (STEM)
programs","324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399928 Healthy Communities Investments 17-3999,11551 Instructional Supports,324,54305,110004 399928,,"$1,055","Miscellaneous Federal, State & Local Grants
Tuition
Distance Learning
Healthy Communities Investments 17-3999"
32,19-0724-EX1,Transfer from Network 9 to Network 9,transferring funds to supply line,02491 Network 9,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,02491 Network 9,115 General Education Fund,53405 Commodities - Supplies,221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,076",
33,19-0724-EX1,Transfer from Talman Elementary School to Citywide Student Support and Engagement,Pulling funds for Summer PO,26781 Talman Elementary School,"324 Miscellaneous Federal, State & Local Grants",57415 FICA,297920 Other Government Funded - Support Services,442171 21st Century Community Learning Centers Fy19,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,442171 21st Century Community Learning Centers Fy19,"$1,087",
34,19-0724-EX1,Transfer from Risk Management to Risk Management,Payment for CCMSI escrow fund,12460 Risk Management,210 Workers' & Unemployment Compensation/Tort,54125 Services - Professional/Administrative,261016 Risk Management Administration,000000 Default Value,12460 Risk Management,210 Workers' & Unemployment Compensation/Tort,54535 Services - Insurance - General Liability - Claims,231113 Tort Claims - Casualty,000000 Default Value,"$1,089",
35,19-0724-EX1,Transfer from Ray Graham Training Center High School to Early College and Career - City Wide,Returning unspent grant funds to central unit.,49101 Ray Graham Training Center High School,"324 Miscellaneous Federal, State & Local Grants",55005 Property - Equipment,140101 Agricultural Academy,376804 Agriculture Education Fy19,13727 Early College and Career - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,140101 Agricultural Academy,376804 Agriculture Education Fy19,"$1,100",
36,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430219 Nonpublic Inst. & Supp. Serv. - Catholic,70140 Independent Schools Of Chicago,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,217662 Iasa-Nonpublic Summer,430220 Nonpublic Inst. & Supp. Serv. - Independ.,"$1,100",
37,19-0724-EX1,Transfer from Department of Personalized Learning to Department of Personalized Learning,Clear year-end negatives.,10825 Department of Personalized Learning,124 School Special Income Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,070157 Cff - Silicon Valley Community Foundation,10825 Department of Personalized Learning,124 School Special Income Fund,57405 Medicare,221001 School Instructional Support Services,070157 Cff - Silicon Valley Community Foundation,"$1,101",
38,19-0724-EX1,Transfer from Office of Catholic Schools to Associated Talmud Torah Of,Chicago,69510 Office of Catholic Schools,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),490944 Title Iii - Iep,69530 Associated Talmud Torah Of Chicago,356 ELL & Bilingual Programs,53405 Commodities - Supplies,228953 Federal - Nonpublic Inst (Jewish),490944 Title Iii - Iep,"$1,105",Transfer funds to process approved purchase order requests for Nonpublic Schools Title III Immigrant programs
39,19-0724-EX1,Transfer from Office of Student Health & Wellness to Office of Student Health & Wellness,Transferring per T. DeClemente.,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",54205 Travel Expense,221077 Cdc Hiv Prevention Pd,"580215 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy19",14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,"580215 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy19","$1,108",
40,19-0724-EX1,Transfer from Capital/Operations - City Wide to Ronald E McNair Elementary School,Funds Transfer From Award# 2019-437-00-18 To Project# 2019-26301-ODR ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,009516 Sodexo - Cip,000000 Default Value,26301 Ronald E McNair Elementary School,437 CIP Series 2018D,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$1,112",
41,19-0724-EX1,Transfer from Independent Schools Of Chicago to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title III programs,70140 Independent Schools Of Chicago,356 ELL & Bilingual Programs,53305 Instructional Materials (Non-Digital),228950 Federal - Nonpublic Inst (Independent),490943 Title Iii - Lmtd. Eng. Prf. - Nonpublic,69510 Office of Catholic Schools,356 ELL & Bilingual Programs,54130 Services - Non Professional,228958 Federal - Nonpublic Inst (Catholic),490943 Title Iii - Lmtd. Eng. Prf. - Nonpublic,"$1,121",
42,19-0724-EX1,Transfer from Office of Student Health & Wellness to Office of Student Health & Wellness,Sweeping salvage line grant funds back to unit contingency.,14050 Office of Student Health & Wellness,124 School Special Income Fund,57405 Medicare,419001 Payroll Salvage,000379 Cff - Pritzker Foundation / Opening Doors Initiative,14050 Office of Student Health & Wellness,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,261008 Children And Family Benefits Unit,000379 Cff - Pritzker Foundation / Opening Doors Initiative,"$1,139",
43,19-0724-EX1,Transfer from Lutheran Education Foundation to Leo High School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,69336 Lutheran Education Foundation,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390014 Nonpublic Sup Counseling Services,430222 Nonpublic Inst. & Supp. Serv. - Lutheran,69377 Leo High School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,217662 Iasa-Nonpublic Summer,430219 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,148",
44,19-0724-EX1,Transfer from Office of Catholic Schools to Associated Talmud Torah Of,Chicago,69510 Office of Catholic Schools,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),490944 Title Iii - Iep,69530 Associated Talmud Torah Of Chicago,356 ELL & Bilingual Programs,54125 Services - Professional/Administrative,228953 Federal - Nonpublic Inst (Jewish),490944 Title Iii - Iep,"$1,150",Transfer funds to process approved purchase order requests for Nonpublic Schools Title III Immigrant programs
45,19-0724-EX1,Transfer from Capital/Operations - City Wide to Talman Elementary School,Funds Transfer From Award# 2019-437-00-19 To Project# 2019-26781-PKG ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,26781 Talman Elementary School,437 CIP Series 2018D,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$1,150",
46,19-0724-EX1,Transfer from Talman Elementary School to Capital/Operations - City Wide,Funds Transfer From Project# 2019-26781-PKG To Award# 2019-437-00-19 ; Change Reason : NA,26781 Talman Elementary School,437 CIP Series 2018D,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$1,150",
47,19-0724-EX1,Transfer from Capital/Operations - City Wide to Talman Elementary School,Funds Transfer From Award# 2019-437-00-19 To Project# 2019-26781-PKG ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,26781 Talman Elementary School,437 CIP Series 2018D,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$1,150",
48,19-0724-EX1,Transfer from Teaching and Learning Office to Executive Office,Transfer of funds for CPS Pins,10810 Teaching and Learning Office,115 General Education Fund,53405 Commodities - Supplies,230010 Administrative Support,000000 Default Value,10710 Executive Office,115 General Education Fund,53405 Commodities - Supplies,230010 Administrative Support,000000 Default Value,"$1,174",
49,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to Ravenswood Baptist Christian School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic",69612 Ravenswood Baptist Christian School,358 Title IV,55005 Property - Equipment,228952 Federal - Nonpublic Inst (Christian),"440045 Title Iv, Part A - Nonpublic","$1,180",
50,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to DePaul College Prep,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic",69367 DePaul College Prep,358 Title IV,53405 Commodities - Supplies,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic","$1,185",
51,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to St Patrick High School - Boys,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic",69420 St Patrick High School - Boys,358 Title IV,53405 Commodities - Supplies,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic","$1,185",
52,19-0724-EX1,Transfer from Capital/Operations - City Wide to Burnside Elementary Scholastic Academy,Funds Transfer From Award# 2019-437-00-16 To Project# 2019-29021-ORR ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,29021 Burnside Elementary Scholastic Academy,437 CIP Series 2018D,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$1,190",
53,19-0724-EX1,Transfer from Early Childhood Development - City Wide to Early Childhood Development - City Wide,Transfer of funds needed for consultant services.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,53405 Commodities - Supplies,111048 Early Childhood 3-4,376669 State Preschool For All Age 3-5 Fy19,11385 Early Childhood Development - City Wide,362 Early Childhood Development,54125 Services - Professional/Administrative,233019 Early Childhood - Prekg - Admin,376669 State Preschool For All Age 3-5 Fy19,"$1,200",
54,19-0724-EX1,Transfer from Department of JROTC to Phoenix Military Academy High School,Transfer to assist with professional development.,05261 Department of JROTC,115 General Education Fund,54205 Travel Expense,221227 Curriculum Development,000000 Default Value,55011 Phoenix Military Academy High School,115 General Education Fund,53205 Commodities - Supplied Food,221227 Curriculum Development,000901 Other Gen Ed Funded Programs,"$1,200",
55,19-0724-EX1,Transfer from Capital/Operations - City Wide to Burnside Elementary Scholastic Academy,Funds Transfer From Award# 2019-437-00-16 To Project# 2019-29021-OMA ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,29021 Burnside Elementary Scholastic Academy,437 CIP Series 2018D,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$1,200",
56,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to Daystar School,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69566 Daystar School,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370012 Federal - Idea Nonpublic (Christian),462072 Lea Flowthru Instruction - Nonpublic,"$1,200",
57,19-0724-EX1,Transfer from Family & Community Engagement Office to Family & Community Engagement Office,Back-2-school bash.,14060 Family & Community Engagement Office,115 General Education Fund,54205 Travel Expense,300008 Community/Parent Involvement,000000 Default Value,14060 Family & Community Engagement Office,115 General Education Fund,53405 Commodities - Supplies,221229 Back To School Campaign,000000 Default Value,"$1,200",
58,19-0724-EX1,Transfer from Executive Office to Executive Office,Transfer per dept request to cover expenses for custom CPS lapel pins,10710 Executive Office,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,10710 Executive Office,115 General Education Fund,53405 Commodities - Supplies,230010 Administrative Support,000000 Default Value,"$1,210",
59,19-0724-EX1,Transfer from Capital/Operations - City Wide to Ferdinand Peck Elementary School,Funds Transfer From Award# 2019-437-00-14 To Project# 2019-24871-ICR ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,253540 Cost Estimating,000000 Default Value,24871 Ferdinand Peck Elementary School,437 CIP Series 2018D,56306 Capitalized Furniture,253508 Renovations,000000 Default Value,"$1,210",
60,19-0724-EX1,Transfer from Capital/Operations - City Wide to John H Vanderpoel Elementary Magnet School,Adustment to negative capital funds,12150 Capital/Operations - City Wide,486 CIT Bond Fund,56310 Capitalized Construction,009551 Masonary/Windows,000000 Default Value,29311 John H Vanderpoel Elementary Magnet School,486 CIT Bond Fund,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$1,219",
61,19-0724-EX1,Transfer from Arts to Arts,EOY budget transfer for purchase of student programs and department supplies,10890 Arts,115 General Education Fund,54205 Travel Expense,113034 Performing & Creative Arts,000000 Default Value,10890 Arts,115 General Education Fund,53405 Commodities - Supplies,113034 Performing & Creative Arts,000000 Default Value,"$1,223",
62,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to St Nicholas Cathedral School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic",69210 St Nicholas Cathedral School,358 Title IV,55005 Property - Equipment,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic","$1,233",
