Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
11,19-1120-EX2,Transfer from Citywide Student Support and Engagement to Richard Yates Elementary School,FY20 SCS School Year Allocation,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,25911 Richard Yates Elementary School,115 General Education Fund,53215 Commodities - Purchased Food,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,"$1,000",
12,19-1120-EX2,Transfer from Citywide Student Support and Engagement to Uplift Community High School,FY20 SCS School Year Allocation,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 000044,,26861 Uplift Community High School,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",119010 Other Instructional Programs,000044 Ctu Sustainable Schools Initiative,"$1,000","Community School Initiative
Ctu Sustainable Schools Initiative"
13,19-1120-EX2,Transfer from Citywide Student Support and Engagement to Carl Schurz High School,FY20 SCS School Year Allocation,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,46281 Carl Schurz High School,115 General Education Fund,53405 Commodities - Supplies,213412 Medical And School Health Svcs,000044 Ctu Sustainable Schools Initiative,"$1,000",
14,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 494071,,69510 Office of Catholic Schools,353 Title II - Teacher Quality,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",228958 Federal - Nonpublic Inst (Catholic),494071 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,000","Federal - Nonpublic Inst (Catholic)
Title Iia - Archdiocese Of Chgo. Suppl. Servc."
15,19-1120-EX2,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,Transfer funds for transportation,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54220 Auto Reimbursement,145932 Coop Work Training,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,000",
16,19-1120-EX2,Transfer from Walter L Newberry Math & Science Academy ES to Education General - City Wide,Reverse BT 20200018754,29231 Walter L Newberry Math & Science Academy ES,124 School Special Income Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,000",
17,19-1120-EX2,Transfer from Language & Cultural Education - City Wide to KIPP One Academy,Adjusting allocation for FY20.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57915 Miscellaneous - Contingent Projects,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,66032 KIPP One Academy,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,"$1,003",
18,19-1120-EX2,Transfer from Pension & Liability Insurance - City Wide to Charles P Steinmetz College Preparatory HS,Transfer to clear insufficient funds check in June FY19 period,12470 Pension & Liability Insurance - City Wide,115 General Education Fund,57305 Hospitalization & Dental Insurance - Employer,009526 All Other,000000 Default Value,46291 Charles P Steinmetz College Preparatory HS,115 General Education Fund,54520 Services - Printing,241006 School Office Services,000575 Student Based Budgeting,"$1,031",
19,19-1120-EX2,Transfer from Louis Nettelhorst Elementary School to Education General - City Wide,Sweeping Funds for Fund 124 Reimbursable Funds,24661 Louis Nettelhorst Elementary School,124 School Special Income Fund,51330 Benefits Pointer,290001 General Salary S Bkt,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,033",
20,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to GFP/Other Private Schools,Transfer funds to process purchase order requests for Neglected Sites,12625 Grant Funded Programs Office - City Wide,334 NCLB Title 1 - Neglected & Delinquent,57915 Miscellaneous - Contingent Projects,125008 430526,,69103 GFP/Other Private Schools,334 NCLB Title 1 - Neglected & Delinquent,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221018 Ecia-Improv Of Instruc,430526 Neglected Programs Fy20,"$1,035","Title I - Neglected & Delinquent Programs
Neglected Programs Fy20"
21,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440047 Title Iv, Part A - Nonpublic",69510 Office of Catholic Schools,358 Title IV,53405 Commodities - Supplies,228958 Federal - Nonpublic Inst (Catholic),"440047 Title Iv, Part A - Nonpublic","$1,038",
22,19-1120-EX2,Transfer from Noble - Gary Comer College Prep to Education General - City Wide,EXPIRED GRANT - Transfer funding to 356 contingency.,66146 Noble - Gary Comer College Prep,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221001 School Instructional Support Services,490942 Title Iii - Language Acquisition,12670 Education General - City Wide,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,040",
23,19-1120-EX2,Transfer from CICS - Wrightwood to Education General - City Wide,EXPIRED GRANT - Transfer funding to 356 contingency.,66381 CICS - Wrightwood,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221001 School Instructional Support Services,490942 Title Iii - Language Acquisition,12670 Education General - City Wide,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,040",
24,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440047 Title Iv, Part A - Nonpublic",69510 Office of Catholic Schools,358 Title IV,54125 Services - Professional/Administrative,228958 Federal - Nonpublic Inst (Catholic),"440047 Title Iv, Part A - Nonpublic","$1,050",
25,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 494071,,69336 Lutheran Education Foundation,353 Title II - Teacher Quality,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221022 Federal - Nonpublic Inst (Lutheran),494072 Title Iia - Other Private Supplementary Servc.,"$1,065","Federal - Nonpublic Inst (Catholic)
Title Iia - Archdiocese Of Chgo. Suppl. Servc."
26,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to Christian Affiliate Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494071 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69237 Christian Affiliate Schools,353 Title II - Teacher Quality,54205 Travel Expense,228952 Federal - Nonpublic Inst (Christian),494072 Title Iia - Other Private Supplementary Servc.,"$1,065",
27,19-1120-EX2,Transfer from Student Support and Engagement to Frank W Reilly Elementary School,Reilly K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,25101 Frank W Reilly Elementary School,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,071",
28,19-1120-EX2,Transfer from School Safety and Security Office to School Safety and Security Office,Transfer funds to purchase school security uniforms,10610 School Safety and Security Office,210 Workers' & Unemployment Compensation/Tort,54215 Car Fare,254605 School Safety Services,000000 Default Value,10610 School Safety and Security Office,210 Workers' & Unemployment Compensation/Tort,53405 Commodities - Supplies,254605 School Safety Services,000000 Default Value,"$1,086",
29,19-1120-EX2,Transfer from Pension & Liability Insurance - City Wide to Bronzeville Scholastic Academy High School,Transfer to clear insufficient funds check in June FY19 period,12470 Pension & Liability Insurance - City Wide,115 General Education Fund,57305 Hospitalization & Dental Insurance - Employer,009526 All Other,000000 Default Value,55191 Bronzeville Scholastic Academy High School,115 General Education Fund,53305 Instructional Materials (Non-Digital),113104 English - Hs,000901 Other Gen Ed Funded Programs,"$1,097",
30,19-1120-EX2,Transfer from Alexander Graham Bell Elementary School to Education General - City Wide,Sweeping Funds for Fund 124 Reimbursable Funds,22231 Alexander Graham Bell Elementary School,124 School Special Income Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,104",
31,19-1120-EX2,Transfer from Student Support and Engagement to Johann W von Goethe Elementary School,Goethe K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,23341 Johann W von Goethe Elementary School,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,112",
32,19-1120-EX2,Transfer from Student Support and Engagement to Ernst Prussing Elementary School,Prussing K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,25031 Ernst Prussing Elementary School,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,112",
33,19-1120-EX2,Transfer from Student Support and Engagement to Stone Elementary Scholastic Academy,Stone K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,29291 Stone Elementary Scholastic Academy,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,112",
34,19-1120-EX2,Transfer from Student Support and Engagement to Philip Rogers Elementary School,Rogers K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,25141 Philip Rogers Elementary School,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,112",
35,19-1120-EX2,Transfer from Student Support and Engagement to James Monroe Elementary School,Monroe K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,24531 James Monroe Elementary School,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,112",
36,19-1120-EX2,Transfer from Student Support and Engagement to Frank W Gunsaulus Elementary Scholastic Academy,Gunsaulus K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,29121 Frank W Gunsaulus Elementary Scholastic Academy,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,112",
37,19-1120-EX2,Transfer from Citywide Student Support and Engagement to Daniel R Cameron Elementary School,Aligning to approved grant budget,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,22531 Daniel R Cameron Elementary School,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$1,130",
38,19-1120-EX2,Transfer from Department of JROTC to Phoenix Military Academy High School,Transfer needed to support West Point trip PO.,05261 Department of JROTC,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"532011 Accelerated Stem Program Of Study And Leadership
Development Fy19",55011 Phoenix Military Academy High School,"324 Miscellaneous Federal, State & Local Grants",54205 Travel Expense,221011 Improvement Of Instruction,"532011 Accelerated Stem Program Of Study And Leadership
Development Fy19","$1,131",
39,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494071 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,70140 Independent Schools Of Chicago,353 Title II - Teacher Quality,54205 Travel Expense,228950 Federal - Nonpublic Inst (Independent),494072 Title Iia - Other Private Supplementary Servc.,"$1,136",
40,19-1120-EX2,Transfer from Talent Office to Education General - City Wide,Sweep Funds for Reimbursable Position,11010 Talent Office,124 School Special Income Fund,57305 Hospitalization & Dental Insurance - Employer,419001 Payroll Salvage,070702 Joyce Foundation - Teach Chicago 2025,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,905000 Grants From Children First Fund,"$1,139",
41,19-1120-EX2,Transfer from William Jones College Preparatory High School to Education General - City Wide,Sweeping Funds for Fund 124 Reimbursable Funds,47021 William Jones College Preparatory High School,124 School Special Income Fund,51330 Benefits Pointer,290001 General Salary S Bkt,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,145",
42,19-1120-EX2,Transfer from Capital/Operations - City Wide to Little Village Elementary School,Funds Transfer From Award# 2019-488-00-02 To Project# 2018-22521-ICR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,22521 Little Village Elementary School,488 Series 2017H,56306 Capitalized Furniture,253508 Renovations,000000 Default Value,"$1,160",
43,19-1120-EX2,Transfer from Language & Cultural Education - City Wide to Noble - The Noble Academy,Adjusting allocation for FY20.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57915 Miscellaneous - Contingent Projects,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,66578 Noble - The Noble Academy,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,"$1,168",
44,19-1120-EX2,Transfer from Capital/Operations - City Wide to Christopher Columbus Elementary School,Funds Transfer From Award# 2020-488-00-04 To Project# 2020-22791-OGC ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,22791 Christopher Columbus Elementary School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$1,190",
45,19-1120-EX2,Transfer from School Safety and Security Office to School Safety and Security Office,Transfer funds to purchase school security uniforms and photo IDs,10610 School Safety and Security Office,210 Workers' & Unemployment Compensation/Tort,54215 Car Fare,254605 School Safety Services,000000 Default Value,10610 School Safety and Security Office,210 Workers' & Unemployment Compensation/Tort,53405 Commodities - Supplies,254605 School Safety Services,000000 Default Value,"$1,200",
46,19-1120-EX2,Transfer from Family & Community Engagement Office to Real Estate,100 parking passes for the FACE2 Department.,14060 Family & Community Engagement Office,115 General Education Fund,54205 Travel Expense,230010 Administrative Support,000000 Default Value,11910 Real Estate,115 General Education Fund,57705 Services - Space Rental,254903 Rental Program,000000 Default Value,"$1,200",
47,19-1120-EX2,Transfer from Polaris Charter Academy to Education General - City Wide,EXPIRED GRANT - Transfer funding to 356 contingency.,67081 Polaris Charter Academy,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221001 School Instructional Support Services,490942 Title Iii - Language Acquisition,12670 Education General - City Wide,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,248",
48,19-1120-EX2,Transfer from Counseling and Postsecondary Advising to John M Smyth Elementary School,2019¿2020 School-Based Male Mentoring Program - Semester 1,10850 Counseling and Postsecondary Advising,115 General Education Fund,54125 Services - Professional/Administrative,212023 Post Secondary Education,000000 Default Value,25411 John M Smyth Elementary School,115 General Education Fund,54125 Services - Professional/Administrative,212041 Guidance,000901 Other Gen Ed Funded Programs,"$1,250",
49,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 440047,,70140 Independent Schools Of Chicago,358 Title IV,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",228950 Federal - Nonpublic Inst (Independent),"440047 Title Iv, Part A - Nonpublic","$1,250","Federal - Nonpublic Inst (Catholic)
Title Iv, Part A - Nonpublic"
50,19-1120-EX2,Transfer from Grant Funded Programs Office - City Wide to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 440047,,70140 Independent Schools Of Chicago,358 Title IV,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",228950 Federal - Nonpublic Inst (Independent),"440047 Title Iv, Part A - Nonpublic","$1,250","Federal - Nonpublic Inst (Catholic)
Title Iv, Part A - Nonpublic"
51,19-1120-EX2,Transfer from Student Support and Engagement to Josephine C Locke Elementary School,Locke K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,24231 Josephine C Locke Elementary School,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,297",
52,19-1120-EX2,Transfer from Student Support and Engagement to Tarkington School of Excellence ES,Tarkington K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,26791 Tarkington School of Excellence ES,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000675 K-* Ost Award Program,"$1,297",
53,19-1120-EX2,Transfer from Pension & Liability Insurance - City Wide to Hyde Park Academy High School,Transfer to clear insufficient funds check in June FY19 period,12470 Pension & Liability Insurance - City Wide,115 General Education Fund,57305 Hospitalization & Dental Insurance - Employer,009526 All Other,000000 Default Value,46171 Hyde Park Academy High School,115 General Education Fund,53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,005063 Fy19 School Actions - Englewood,"$1,325",
54,19-1120-EX2,Transfer from Capital/Operations - City Wide to Perspectives - High School of Technology,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-66053-ODR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,66053 Perspectives - High School of Technology,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,"$1,332",
55,19-1120-EX2,Transfer from Pathways in Education- Avondale to Education General - City Wide,EXPIRED GRANT - Transfer funding to 356 contingency.,65016 Pathways in Education- Avondale,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221011 Improvement Of Instruction,490942 Title Iii - Language Acquisition,12670 Education General - City Wide,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,347",
56,19-1120-EX2,Transfer from CICS - Longwood to Education General - City Wide,EXPIRED GRANT - Transfer funding to 356 contingency.,66061 CICS - Longwood,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221001 School Instructional Support Services,490942 Title Iii - Language Acquisition,12670 Education General - City Wide,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,352",
57,19-1120-EX2,Transfer from Hope Learning Academy to Education General - City Wide,EXPIRED GRANT - Transfer funding to 356 contingency.,63031 Hope Learning Academy,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221001 School Instructional Support Services,490942 Title Iii - Language Acquisition,12670 Education General - City Wide,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,352",
58,19-1120-EX2,Transfer from Capital/Operations - City Wide to John M Harlan Community Academy High School,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-51021-OBI-1 ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,51021 John M Harlan Community Academy High School,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$1,370",
59,19-1120-EX2,Transfer from Franklin Elementary Fine Arts Center to Education General - City Wide,Sweeping Funds for Fund 124 Reimbursable Funds,29081 Franklin Elementary Fine Arts Center,124 School Special Income Fund,51330 Benefits Pointer,290001 General Salary S Bkt,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,373",
60,19-1120-EX2,Transfer from Citywide Student Support and Engagement to Cyrus H McCormick Elementary School,Transfer for FY20 21st CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442196 21st Century Community Learning Centers (Cohort
19-Grant 4) Fy20",24431 Cyrus H McCormick Elementary School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442196 21st Century Community Learning Centers (Cohort
19-Grant 4) Fy20","$1,378",
61,19-1120-EX2,Transfer from Pension & Liability Insurance - City Wide to William T Sherman Elementary School,Transfer to clear insufficient funds check in June FY19 period,12470 Pension & Liability Insurance - City Wide,115 General Education Fund,57305 Hospitalization & Dental Insurance - Employer,009526 All Other,000000 Default Value,25341 William T Sherman Elementary School,115 General Education Fund,53405 Commodities - Supplies,211210 Attendance Services,000575 Student Based Budgeting,"$1,384",
62,19-1120-EX2,Transfer from Early College and Career - City Wide to Chicago Vocational Career Academy High School,Transfer to clear insufficient funds check in June FY19 period,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474566 Special Student Needs-C. Perkins Fy19,53011 Chicago Vocational Career Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,141701 Cte - Medical Assistant,474566 Special Student Needs-C. Perkins Fy19,"$1,391",
