Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
11,19-0925-EX1,Transfer from Network 6 to Network 6,Transfer needed to cover cost of professional development texts for FY20,02461 Network 6,115 General Education Fund,57940 Miscellaneous Charges,221234 Professional Develop/Curriculum Develp,000000 Default Value,02461 Network 6,115 General Education Fund,53405 Commodities - Supplies,221234 Professional Develop/Curriculum Develp,000000 Default Value,"$1,000",,
12,19-0925-EX1,Transfer from Social Science & Civic Engagement to Social Science & Civic Engagement,Money to be used to rent space to host professional developments,10813 Social Science & Civic Engagement,358 Title IV,53305 Instructional Materials (Non-Digital),221227 Curriculum Development,"440046 Title Iv, Part A",10813 Social Science & Civic Engagement,358 Title IV,57705 Services - Space Rental,221227 Curriculum Development,"440046 Title Iv, Part A","$1,000",,
13,19-0925-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,Transfer funds for supplies.,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,474566 Special Student Needs-C. Perkins Fy19,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,221011 Improvement Of Instruction,474566 Special Student Needs-C. Perkins Fy19,"$1,000",,
14,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69336 Lutheran Education Foundation,353 Title II - Teacher Quality,54130 Services - Non Professional,221022 Federal - Nonpublic Inst (Lutheran),494068 Title Iia - Other Private Supplementary Servc.,"$1,000",,
15,19-0925-EX1,Transfer from Consolidated Pointer Line Unit to Louisa May Alcott College Preparatory ES,Per Daron Lee. Please transfer funds to school's tuition based program.,12690 Consolidated Pointer Line Unit,117 Tuition Based Program,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,22041 Louisa May Alcott College Preparatory ES,117 Tuition Based Program,53405 Commodities - Supplies,119027 Prek Instruction,000000 Default Value,"$1,000",,
16,19-0925-EX1,Transfer from Innovation and Incubation to Innovation and Incubation,NACSA Conference Registration for team members,13610 Innovation and Incubation,115 General Education Fund,57940 Miscellaneous Charges,251006 000000,,13610 Innovation and Incubation,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",251006 Ons Business Services,000000 Default Value,"$1,000","Ons Business Services
Default Value",
17,19-0925-EX1,Transfer from Department of JROTC to Department of JROTC,Transfer needed to purchase supplies.,05261 Department of JROTC,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"532011 Accelerated Stem Program Of Study And Leadership
Development Fy19",05261 Department of JROTC,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221011 Improvement Of Instruction,"532011 Accelerated Stem Program Of Study And Leadership
Development Fy19","$1,000",,
18,19-0925-EX1,Transfer from Network 8 to Network 8,Supplied Food for meetings,02481 Network 8,115 General Education Fund,57940 Miscellaneous Charges,221080 Aio - Improvement Of Instruction,000000 Default Value,02481 Network 8,115 General Education Fund,53205 Commodities - Supplied Food,221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,000",,
19,19-0925-EX1,Transfer from Network 11 to Network 11,Transfer funds to support Network 11 improvement of instruction,02511 Network 11,115 General Education Fund,57940 Miscellaneous Charges,221080 Aio - Improvement Of Instruction,000000 Default Value,02511 Network 11,115 General Education Fund,54125 Services - Professional/Administrative,221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,000",,
20,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Muhammad Univ,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,430219 Nonpublic Inst. & Supp. Serv. - Catholic,69550 Muhammad Univ,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,131001 Evening School Programs,430220 Nonpublic Inst. & Supp. Serv. - Independ.,"$1,000",,
21,19-0925-EX1,Transfer from Arts to Arts,Supplies for final Professional Learning event for ATLAS grant,10890 Arts,336 NCLB Title V Fund,57705 Services - Space Rental,221011 Improvement Of Instruction,"500984 Arts Teachers Leading Achievement And Success
(Atlas) Fy19",10890 Arts,336 NCLB Title V Fund,53405 Commodities - Supplies,221011 Improvement Of Instruction,"500984 Arts Teachers Leading Achievement And Success
(Atlas) Fy19","$1,000",,
22,19-0925-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,CTE Equipment Repair,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,56105 Services - Repair Contracts,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
23,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Charles Sumner Math & Science Community Acad ES,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442186 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy20",31221 Charles Sumner Math & Science Community Acad ES,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442186 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy20","$1,000",,
24,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Christian Fenger Academy High School,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20",46111 Christian Fenger Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20","$1,000",,
25,19-0925-EX1,Transfer from Citywide Student Support and Engagement to David G Farragut Career Academy High School,Re-entry School Funds Title I Delinquent Grant-Growth in Attendance Rate-Ventra Cards,10875 Citywide Student Support and Engagement,334 NCLB Title 1 - Neglected & Delinquent,57940 Miscellaneous Charges,125008 Title I - Neglected & Delinquent Programs,430626 Delinquent Program Fy20,53091 David G Farragut Career Academy High School,334 NCLB Title 1 - Neglected & Delinquent,54210 Pupil Transportation,255015 Transportation-Special Prog,430626 Delinquent Program Fy20,"$1,000",,
26,19-0925-EX1,Transfer from Early College and Career - City Wide to Chicago High School for Agricultural Sciences,Software for CTE Ag Academy program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,47091 Chicago High School for Agricultural Sciences,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),140101 Agricultural Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
27,19-0925-EX1,Transfer from Early College and Career - City Wide to Chicago High School for Agricultural Sciences,Software for CTE Ag Applied Biology program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,47091 Chicago High School for Agricultural Sciences,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),140101 Agricultural Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
28,19-0925-EX1,Transfer from Early College and Career - City Wide to Paul Laurence Dunbar Career Academy High School,Software for CTE Medical Health program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53021 Paul Laurence Dunbar Career Academy High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),148002 Medical Health Career Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
29,19-0925-EX1,Transfer from Early College and Career - City Wide to Benito Juarez Community Academy High School,Software for CTE Medical Health program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46421 Benito Juarez Community Academy High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),148002 Medical Health Career Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
30,19-0925-EX1,Transfer from Early College and Career - City Wide to Theodore Roosevelt High School,Software for CTE Medical Health program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46271 Theodore Roosevelt High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),148002 Medical Health Career Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
31,19-0925-EX1,Transfer from Early College and Career - City Wide to South Shore Intl College Prep High School,Software for CTE Medical Health program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46631 South Shore Intl College Prep High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),148002 Medical Health Career Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
32,19-0925-EX1,Transfer from Early College and Career - City Wide to Roger C Sullivan High School,Software for CTE Medical Health program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46301 Roger C Sullivan High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),148002 Medical Health Career Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
33,19-0925-EX1,Transfer from Early College and Career - City Wide to George Westinghouse College Prep,Software for CTE Medical Health program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53071 George Westinghouse College Prep,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),148002 Medical Health Career Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
34,19-0925-EX1,Transfer from Early College and Career - City Wide to Daniel Hale Williams Prep School of Medicine,Software for CTE Medical Health program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,55161 Daniel Hale Williams Prep School of Medicine,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),148002 Medical Health Career Academy,474567 Special Student Needs-C. Perkins Fy20,"$1,000",,
35,19-0925-EX1,Transfer from Department of Personalized Learning to CICS - Bucktown,Summit Summer Teachers PLC,10825 Department of Personalized Learning,358 Title IV,51320 Bucket Position Pointer,290001 General Salary S Bkt,"440046 Title Iv, Part A",66071 CICS - Bucktown,358 Title IV,54125 Services - Professional/Administrative,119070 Personalized Learning Instruction,"440046 Title Iv, Part A","$1,002",,
36,19-0925-EX1,Transfer from Early College and Career - City Wide to Englewood STEM HS,CTE STEM Gaming Program Supplies,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46691 Englewood STEM HS,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140004 Cte - Business Systems,474567 Special Student Needs-C. Perkins Fy20,"$1,016",,
37,19-0925-EX1,Transfer from Department of Personalized Learning to CICS - West Belden,Summit Summer Teachers PLC,10825 Department of Personalized Learning,358 Title IV,51320 Bucket Position Pointer,290001 General Salary S Bkt,"440046 Title Iv, Part A",66221 CICS - West Belden,358 Title IV,54125 Services - Professional/Administrative,119070 Personalized Learning Instruction,"440046 Title Iv, Part A","$1,022",,
38,19-0925-EX1,Transfer from Early College and Career - City Wide to Marie Sklodowska Curie Metropolitan High School,Certifications for CTE Auto Tech program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,53101 Marie Sklodowska Curie Metropolitan High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",144701 Automotive Mechanic,474567 Special Student Needs-C. Perkins Fy20,"$1,024","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
39,19-0925-EX1,Transfer from Early College and Career - City Wide to Charles Allen Prosser Career Academy High School,Certifications for CTE Auto Tech program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,53041 Charles Allen Prosser Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",144701 Automotive Mechanic,474567 Special Student Needs-C. Perkins Fy20,"$1,024","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
40,19-0925-EX1,Transfer from Early College and Career - City Wide to Carl Schurz High School,Certifications for CTE Auto Tech program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46281 Carl Schurz High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",144701 Automotive Mechanic,474567 Special Student Needs-C. Perkins Fy20,"$1,024","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
41,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Air Force Academy High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,45231 Air Force Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,063",,
42,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Charles Sumner Math & Science Community Acad ES,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442186 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy20",31221 Charles Sumner Math & Science Community Acad ES,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,253831 Bus Svc-Field Trips-Reg,"442186 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy20","$1,081",,
43,19-0925-EX1,Transfer from Early College and Career - City Wide to David G Farragut Career Academy High School,Supplies for CTE Pre-Law program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",53091 David G Farragut Career Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,113096 Cte Law And Public Safety,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,092",,
44,19-0925-EX1,Transfer from Early College and Career - City Wide to John Hancock College Preparatory High School,Supplies for CTE Pre-Law program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46021 John Hancock College Preparatory High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,113096 Cte Law And Public Safety,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,092",,
45,19-0925-EX1,Transfer from Early College and Career - City Wide to William Jones College Preparatory High School,Supplies for CTE Pre-Law program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",47021 William Jones College Preparatory High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,113096 Cte Law And Public Safety,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,092",,
46,19-0925-EX1,Transfer from Early College and Career - City Wide to William J Bogan High School,Supplies for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46041 William J Bogan High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,095",,
47,19-0925-EX1,Transfer from Education General - City Wide to Talent Office,Transfer funding for the National Board Certification Initiatives.,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,11010 Talent Office,"324 Miscellaneous Federal, State & Local Grants",51330 Benefits Pointer,290001 General Salary S Bkt,036514 National Board Certification Initiatives,"$1,115",,
48,19-0925-EX1,Transfer from Early College and Career - City Wide to Stephen T Mather High School,Workbooks for CTE LOCAL Pre-Law program,13727 Early College and Career - City Wide,115 General Education Fund,53405 Commodities - Supplies,113096 Cte Law And Public Safety,000389 Cte Programs,46241 Stephen T Mather High School,115 General Education Fund,53305 Instructional Materials (Non-Digital),113096 Cte Law And Public Safety,000389 Cte Programs,"$1,115",,
49,19-0925-EX1,Transfer from Early College and Career - City Wide to Wells Community Academy High School,Workbooks for CTE LOCAL Pre-Law program,13727 Early College and Career - City Wide,115 General Education Fund,53405 Commodities - Supplies,113096 Cte Law And Public Safety,000389 Cte Programs,51071 Wells Community Academy High School,115 General Education Fund,53305 Instructional Materials (Non-Digital),113096 Cte Law And Public Safety,000389 Cte Programs,"$1,115",,
50,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Visitation Campus School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,430219 Nonpublic Inst. & Supp. Serv. - Catholic,69296 Visitation Campus School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430219 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,120",,
51,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Charles Allen Prosser Career Academy High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,53041 Charles Allen Prosser Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,125",,
52,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Wells Community Academy High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,51071 Wells Community Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,125",,
53,19-0925-EX1,Transfer from Network 2 to Network 2,Funds are needed for professional development services.,02421 Network 2,115 General Education Fund,57940 Miscellaneous Charges,221080 000000,,02421 Network 2,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,125","Aio - Improvement Of Instruction
Default Value",
54,19-0925-EX1,Transfer from Early College and Career - City Wide to Charles Allen Prosser Career Academy High School,Student Transportation for CTE Culinary program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53041 Charles Allen Prosser Career Academy High School,369 Title I - School Improvement Carl Perkins,54210 Pupil Transportation,140505 Culinary Arts,474567 Special Student Needs-C. Perkins Fy20,"$1,140",,
55,19-0925-EX1,Transfer from Capital/Operations - City Wide to Cyrus H McCormick Elementary School,Funds Transfer From Award# 2017-486-00-17 To Project# 2019-24431-STR ; Change Reason : NA,12150 Capital/Operations - City Wide,486 CIT Bond Fund,56310 Capitalized Construction,009551 Masonary/Windows,000000 Default Value,24431 Cyrus H McCormick Elementary School,486 CIT Bond Fund,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$1,147",,
56,19-0925-EX1,Transfer from Early College and Career - City Wide to Theodore Roosevelt High School,Workbooks for CTE Early Childhood program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46271 Theodore Roosevelt High School,369 Title I - School Improvement Carl Perkins,53305 Instructional Materials (Non-Digital),140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$1,147",,
57,19-0925-EX1,Transfer from Computer Science to Computer Science,Reallocation funds used to pay for contract admin support to open Misc bucket for staffed admin support.,11405 Computer Science,115 General Education Fund,54125 Services - Professional/Administrative,230010 Administrative Support,000000 Default Value,11405 Computer Science,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,150",,
58,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Polaris Charter Academy,Adjusting State bilingual charter allocation for Charter schools.,11540 Language & Cultural Education - City Wide,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,67081 Polaris Charter Academy,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,"$1,164",,
