Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
28,18-0523-EX1,Transfer from Carrie Jacobs Bond Elementary School to Education General - City Wide,Sweeping expired grant funds for refund to CFF.,25941 Carrie Jacobs Bond Elementary School,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,070132 Cff - Target Healthy Cps Initiative,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,"$1,000",
29,18-0523-EX1,Transfer from Dr. Martin L. King Jr Academy of Social Justice to Education General - City Wide,Sweeping expired grant funds for refund to CFF.,26371 Dr. Martin L. King Jr Academy of Social Justice,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,070132 Cff - Target Healthy Cps Initiative,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,"$1,000",
30,18-0523-EX1,"
Transfer from Department of JROTC to Phoenix Military Academy High School",Transfer for travel to West Point Leadership camp.,05261 Department of JROTC,115 General Education Fund,57915 Miscellaneous - Contingent Projects,113119 Rotc - Hs,000000 Default Value,55011 Phoenix Military Academy High School,115 General Education Fund,54205 Travel Expense,113119 Rotc - Hs,000901 Other Gen Ed Funded Programs,"$1,000",
31,18-0523-EX1,Transfer from Marine Leadership Academy at Ames to Capital/Operations - City Wide,Approved 1st floor and 3rd floor construction project.,41111 Marine Leadership Academy at Ames,225 Supplemental General State Aid,53405 Commodities - Supplies,119021 Sgsa Prior Year Allocation,000703 Supplemental General State Aid (Sgsa),12150 Capital/Operations - City Wide,225 Supplemental General State Aid,56310 Capitalized Construction,253542 Facilities Data Management Project,000703 Supplemental General State Aid (Sgsa),"$1,000",
32,18-0523-EX1,Transfer from Jesse Owens Community Academy to Jesse Owens Elementary Community Academy,Transfer of funds to the correct unit.,31071 Jesse Owens Community Academy,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,23351 Jesse Owens Elementary Community Academy,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,"$1,000",
33,18-0523-EX1,Transfer from YCCS-West Town Acad Alternative HS to Youth Connection Charter School (YCCS),Payment to YCCS,66627 YCCS-West Town Acad Alternative HS,115 General Education Fund,54320 Student Tuition - Charter Schools,113090 Grants-Citywide Misc Fndtns,000901 Other Gen Ed Funded Programs,66101 Youth Connection Charter School (YCCS),115 General Education Fund,54320 Student Tuition - Charter Schools,113090 Grants-Citywide Misc Fndtns,000901 Other Gen Ed Funded Programs,"$1,000",
34,18-0523-EX1,Transfer from YCCS-CCA Academy HS to Youth Connection Charter School (YCCS),Payment to YCCS,66612 YCCS-CCA Academy HS,115 General Education Fund,54320 Student Tuition - Charter Schools,113090 Grants-Citywide Misc Fndtns,000901 Other Gen Ed Funded Programs,66101 Youth Connection Charter School (YCCS),115 General Education Fund,54320 Student Tuition - Charter Schools,113090 Grants-Citywide Misc Fndtns,000901 Other Gen Ed Funded Programs,"$1,000","8
"
35,18-0523-EX1,"
Transfer from YCCS-Community Youth Development Institute HS to Youth Connection Charter School (YCCS)",Payment to YCCS,66614 YCCS-Community Youth Development Institute HS,115 General Education Fund,54320 Student Tuition - Charter Schools,113090 Grants-Citywide Misc Fndtns,000901 Other Gen Ed Funded Programs,66101 Youth Connection Charter School (YCCS),115 General Education Fund,54320 Student Tuition - Charter Schools,113090 Grants-Citywide Misc Fndtns,000901 Other Gen Ed Funded Programs,"$1,000",
36,18-0523-EX1,Transfer from Literacy to Literacy,Transfer of funds to increase bucket number 501129,13700 Literacy,115 General Education Fund,57705 Services - Space Rental,221216 Libraries - Curriculum,000000 Default Value,13700 Literacy,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,000",
37,18-0523-EX1,Transfer from Florence Nightingale Elementary School to Citywide Student Support and Engagement,Pulling funds back to be reallocated for summer programming - Department request,24671 Florence Nightingale Elementary School,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,442164 21st Century Community Learning Centers Fy18,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,442164 21st Century Community Learning Centers Fy18,"$1,000",
38,18-0523-EX1,"Transfer from Science, Technology, Engineering, and Math (STEM) programs to William H Brown Elementary School",Transfer of funds for extended day services.,"10871 Science, Technology, Engineering, and Math (STEM)
programs",115 General Education Fund,57940 Miscellaneous Charges,241016 Instructional Administration,000000 Default Value,22351 William H Brown Elementary School,115,57940,125023 000901,,"$1,000","General Education Fund
Miscellaneous Charges
Stem - Extended Student Learning
Other Gen Ed Funded Programs
"
39,18-0523-EX1,"
Transfer from Department of JROTC to George H Corliss High School",Transfer needed to purchase unit cords for JROTC.,05261 Department of JROTC,115 General Education Fund,57915 Miscellaneous - Contingent Projects,113119 Rotc - Hs,000000 Default Value,46391 George H Corliss High School,115 General Education Fund,53405 Commodities - Supplies,113119 Rotc - Hs,000000 Default Value,"$1,000",
40,18-0523-EX1,Transfer from Talent Office to Talent Office,Travel reimbursement for staff traveling to and from Central Office and attend conferences.,11010 Talent Office,115 General Education Fund,53510 Commodities - Postage,232102 Executive Administration,000000 Default Value,11010 Talent Office,115 General Education Fund,54205 Travel Expense,264209 Staffing Services,000000 Default Value,"$1,000",
41,18-0523-EX1,Transfer from Edward Tilden Career Community Academy HS to Citywide Student Support and Engagement,for PO to cover summer program -Tilden,53121 Edward Tilden Career Community Academy HS,"324 Miscellaneous Federal, State & Local Grants",51300 Regular Position Pointer,290001 General Salary S Bkt,"442165 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy18",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442165 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy18","$1,000",
42,18-0523-EX1,Transfer from Facility Opers & Maint - City Wide to Phillip Murray Elementary Language Academy,"supply all labor and materials to provide pest control for bed bugs in room 204, 221 108, main office, principals office library,
cateteria, staff bathroom and 3 lockers. CPS#7997936",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,29221 Phillip Murray Elementary Language Academy,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,000","10
"
43,18-0523-EX1,"
Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide",Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,015","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
44,18-0523-EX1,Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide,Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,015","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
45,18-0523-EX1,Transfer from John T McCutcheon Elementary School to Education General - City Wide,"Sweeping back funds due to reconciliation with Blk Wht Valet. Overpay from November 2015 to October 2016 by $88 per month.
Underpaid $12 per month from July 2015 to Sept 2015.",26201 John T McCutcheon Elementary School,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,254905 Grants - Rental Of School Buildings/Grounds,000400 School Parking Lot Rental,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,"$1,020",
46,18-0523-EX1,"Transfer from Facility Opers & Maint - City Wide to Walter S Christopher Elementary School
Transfer From:
11880 Facility Opers & Maint - City Wide
230 Public Building Commission O & M
53405 Commodities - Supplies
254032 O&M West
000000 Default Value","Transfer To:
30031 Walter S Christopher Elementary School
230 Public Building Commission O & M
53405 Commodities - Supplies
254032 O&M West
000000 Default Value",,,,,,,,,,,"$1,028","11
"
47,18-0523-EX1,"
Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide",Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,031","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
48,18-0523-EX1,Transfer from Capital/Operations - City Wide to Wildwood IB World Magnet School,Funds Transfer From Award# 2017-427-00-26 To Project# 2014-25881-ANX ; Change Reason : NA,12150 Capital/Operations - City Wide,427 CIP Series 2016B,56310 Capitalized Construction,009567 All Other,000000 Default Value,25881 Wildwood IB World Magnet School,427 CIP Series 2016B,56310 Capitalized Construction,009531 Additions,000000 Default Value,"$1,033",
49,18-0523-EX1,"Transfer from Facility Opers & Maint - City Wide to Marie Sklodowska Curie Metropolitan High School
Transfer From:
11880 Facility Opers & Maint - City Wide
230 Public Building Commission O & M
53405 Commodities - Supplies
254032 O&M West
000000 Default Value","Transfer To:
53101 Marie Sklodowska Curie Metropolitan High School
230 Public Building Commission O & M
53405 Commodities - Supplies
254032 O&M West
000000 Default Value",,,,,,,,,,,"$1,034",
50,18-0523-EX1,Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide,Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,040","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
51,18-0523-EX1,"
Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide",Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,042","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
52,18-0523-EX1,Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide,Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,043","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
53,18-0523-EX1,Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide,Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,053","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
54,18-0523-EX1,Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide,Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,057","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
55,18-0523-EX1,"
Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide",Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,060","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
56,18-0523-EX1,Transfer from Blair Early Childhood Center to Education General - City Wide,Transferring leftover FY18 EL software funds into contingency,30071 Blair Early Childhood Center,356 ELL & Bilingual Programs,53307 Commodities: Software Licenses (Instructional),180040 English Language Learner (Ell/Lep) Programs,490939 Title Iii - Language Acquisition,12670 Education General - City Wide,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,410008 Contingency For Project Expan,"$1,064",
57,18-0523-EX1,Transfer from Early Childhood Development - City Wide to Early Childhood Development - City Wide,Business Cards,11385 Early Childhood Development - City Wide,362 Early Childhood Development,54520 Services - Printing,111048 Early Childhood 3-4,376665 State Preschool For All Age 3-5 Fy18,11385 Early Childhood Development - City Wide,362 Early Childhood Development,53405 Commodities - Supplies,233019 Early Childhood - Prekg - Admin,376665 State Preschool For All Age 3-5 Fy18,"$1,069",
58,18-0523-EX1,Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide,Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,071","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
59,18-0523-EX1,"
Transfer from Associated Talmud Torah Of",Chicago to Yeshivas Meor HaTorah of Chicago,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,228953 Federal - Nonpublic Inst (Jewish),494064 Title Iia - Other Private Supplementary Servc.,69004 Yeshivas Meor HaTorah of Chicago,353 Title II - Teacher Quality,55005 Property - Equipment,228953 Federal - Nonpublic Inst (Jewish),494064 Title Iia - Other Private Supplementary Servc.,"$1,072",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs
60,18-0523-EX1,Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Related Services Providers - City Wide,Reimbursement from overdrawn salvage funds in the system.,11675 Diverse Learner Related Services Providers - City Wide,114,51100,419001 000000,,"11675 Diverse Learner Related Services Providers - City
Wide",114 Special Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,073","Special Education Fund
Teacher Salaries - Regular
Payroll Salvage
Default Value"
61,18-0523-EX1,Transfer from Office of Catholic Schools to Immaculate Conception School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,69510 Office of Catholic Schools,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430202 Nonpublic Inst. & Supp. Serv. - Catholic,69139 Immaculate Conception School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430202 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,074",
62,18-0523-EX1,Transfer from Facility Opers & Maint - City Wide to Paul Laurence Dunbar Career Academy High School,CPS-79999269 Alternative Energy Solutions will provide the equipment and labor needed to replace old defective parts and batteries.,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,53021 Paul Laurence Dunbar Career Academy High School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,078","15
"
