Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
11,18-0725-EX1,Transfer from Capital/Operations - City Wide to Neal F Simeon Career Academy High School,Funds Transfer From Award# 2017-427-00-22 To Project# 2018-53061-OHI4 ; Change Reason : NA,12150 Capital/Operations - City Wide,427 CIP Series 2016B,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,53061 Neal F Simeon Career Academy High School,427 CIP Series 2016B,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$1,000",
12,18-0725-EX1,"Transfer from William Howard Taft High School to Magnet, Gifted and IB Programs",Sweep of IB funds per department head request.,46311 William Howard Taft High School,115 General Education Fund,53405 Commodities - Supplies,221234 Professional Develop/Curriculum Develp,008005 International Baccalaureate Program,"10845 Magnet, Gifted and IB Programs",115 General Education Fund,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,000000 Default Value,"$1,000",
13,18-0725-EX1,"Transfer from Lake View High School to Science, Technology, Engineering, and Math (STEM) programs",Offset negative budget line,46211 Lake View High School,115,54505,125023 000901,,"10871 Science, Technology, Engineering, and Math (STEM)
programs",115 General Education Fund,51320 Bucket Position Pointer,290001 000000,,"$1,000","General Education Fund
Seminar, Fees, Subscriptions, Professional
Memberships
Stem - Extended Student Learning
Other Gen Ed Funded ProgramsGeneral Salary S Bkt
Default Value"
14,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to Edmond Burke Elementary School,"Mass trapping.
CPS 8230385",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,22411 Edmond Burke Elementary School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,000",
15,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to William Rainey Harper High School,"Provide labor and material to repair ceiling room 112C this more money for P.O #3478146 to repair falling ceiling in room
112C(MAX#4365532)",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,46151 William Rainey Harper High School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,"$1,001",
16,18-0725-EX1,Transfer from Perspectives - Leadership Academy to Capital/Operations - City Wide,Funds Transfer From Project# 2017-66052-ACD To Award# 2017-485-00-05 ; Change Reason : NA,66052 Perspectives - Leadership Academy,485 CIT PayGo Fund,56310 Capitalized Construction,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,024",
17,18-0725-EX1,Transfer from DuSable Multiplex to Capital/Operations - City Wide,Funds Transfer From Project# 2017-46541-ACD To Award# 2017-485-00-05 ; Change Reason : NA,46541 DuSable Multiplex,485 CIT PayGo Fund,56310 Capitalized Construction,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,033",
18,18-0725-EX1,Transfer from Capital/Operations - City Wide to Johnnie Colemon Elementary Academy,Funds Transfer From Award# 2017-427-00-22 To Project# 2018-26751-OHI4 ; Change Reason : NA,12150 Capital/Operations - City Wide,427 CIP Series 2016B,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,26751 Johnnie Colemon Elementary Academy,427 CIP Series 2016B,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$1,040",
19,18-0725-EX1,Transfer from Brian Piccolo Elementary Specialty School to Capital/Operations - City Wide,Funds Transfer From Project# 2017-24781-ACD To Award# 2017-485-00-05 ; Change Reason : NA,24781 Brian Piccolo Elementary Specialty School,485 CIT PayGo Fund,54125 Services - Professional/Administrative,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,047",
20,18-0725-EX1,Transfer from Office of Catholic Schools to St Gall School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,69510 Office of Catholic Schools,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370003 Nonpublic Fine Arts,430202 Nonpublic Inst. & Supp. Serv. - Catholic,69110 St Gall School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370003 Nonpublic Fine Arts,430202 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,050",
21,18-0725-EX1,"Transfer from Magnet, Gifted and IB Programs to Elizabeth H Sutherland Elementary School",For IB PD/travel reimbursement. Funds were swept off the line before reimbursement was completd.,"10845 Magnet, Gifted and IB Programs",115 General Education Fund,57915 Miscellaneous - Contingent Projects,119035 000000,,25561 Elizabeth H Sutherland Elementary School,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221234 Professional Develop/Curriculum Develp,008005 International Baccalaureate Program,"$1,050","Other Instruction Purposes - Miscellaneous
Default Value"
22,18-0725-EX1,"Transfer from George Washington High School to Magnet, Gifted and IB Programs",Sweep of IB funds per department head request.,46331 George Washington High School,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221234 Professional Develop/Curriculum Develp,008005 International Baccalaureate Program,"10845 Magnet, Gifted and IB Programs",115 General Education Fund,57915 Miscellaneous - Contingent Projects,119035 000000,,"$1,056","Other Instruction Purposes - Miscellaneous
Default Value"
23,18-0725-EX1,Transfer from Teaching and Learning Office to Teaching and Learning Office,Transfer of funds to increase bucket number 555637.,10810 Teaching and Learning Office,115 General Education Fund,54215 Car Fare,119064 Oip - Physical Education,000000 Default Value,10810 Teaching and Learning Office,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,057",
24,18-0725-EX1,"Transfer from Facility Opers & Maint - City Wide to Frank W Reilly Elementary School
Transfer From:
11880 Facility Opers & Maint - City Wide
230 Public Building Commission O & M
53405 Commodities - Supplies
254031 O&M North
000000 Default Value","Transfer To:
25101 Frank W Reilly Elementary School
230 Public Building Commission O & M
53405 Commodities - Supplies
254031 O&M North
000000 Default Value",,,,,,,,,,,"$1,058",
25,18-0725-EX1,Transfer from Network 11 to Network 11,Transfer funds to purchase robot to support improvement of instruction for Network 11,02511 Network 11,353 Title II - Teacher Quality,53405 Commodities - Supplies,221080 Aio - Improvement Of Instruction,494062 Title Iia - Teacher Quality,02511 Network 11,353 Title II - Teacher Quality,55005 Property - Equipment,221080 Aio - Improvement Of Instruction,494062 Title Iia - Teacher Quality,"$1,063",
26,18-0725-EX1,Transfer from Lake View High School to Capital/Operations - City Wide,Funds Transfer From Project# 2017-46211-ACD To Award# 2017-485-00-05 ; Change Reason : NA,46211 Lake View High School,485 CIT PayGo Fund,54125 Services - Professional/Administrative,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,071",
27,18-0725-EX1,Transfer from Oscar DePriest Elementary School to Facility Opers & Maint - City Wide,Sweeping unused O&M funds to central office.,26631 Oscar DePriest Elementary School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254031 O&M North,000000 Default Value,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254031 O&M North,000000 Default Value,"$1,079",
28,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to Henry H Nash Elementary School,"Contractor will provide an 1 hour load bank test, cps-7979801",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254031 O&M North,000000 Default Value,24641 Henry H Nash Elementary School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254031 O&M North,000000 Default Value,"$1,087",
29,18-0725-EX1,Transfer from Office of Catholic Schools to Leo High School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I Programs,69510 Office of Catholic Schools,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430202 Nonpublic Inst. & Supp. Serv. - Catholic,69377 Leo High School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430202 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,102",
30,18-0725-EX1,"Transfer from Facility Opers & Maint - City Wide to Anna R. Langford Community Academy
Transfer From:
11880 Facility Opers & Maint - City Wide
230 Public Building Commission O & M
53405 Commodities - Supplies
254033 O&M South
000000 Default Value","Transfer To:
22841 Anna R. Langford Community Academy
230 Public Building Commission O & M
53405 Commodities - Supplies
254033 O&M South
000000 Default Value",,,,,,,,,,,"$1,123",
31,18-0725-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Roald Amundsen High School,Instructional Materials for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,46031 Roald Amundsen High School,"324 Miscellaneous Federal, State & Local Grants",53305 Instructional Materials (Non-Digital),160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,"$1,125",
32,18-0725-EX1,Transfer from George B McClellan Elementary School to Capital/Operations - City Wide,Funds Transfer From Project# 2016-24421-NPL To Award# 2016-485-00-04 ; Change Reason : NA,24421 George B McClellan Elementary School,485 CIT PayGo Fund,54125 Services - Professional/Administrative,253513 Playlots,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,253513 Playlots,000000 Default Value,"$1,128",
33,18-0725-EX1,Transfer from Fairfield Elementary Academy to Capital/Operations - City Wide,Funds Transfer From Project# 2016-26701-NPL To Award# 2016-485-00-04 ; Change Reason : NA,26701 Fairfield Elementary Academy,485 CIT PayGo Fund,54125 Services - Professional/Administrative,320008 Playgrounds And Stadia,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,253513 Playlots,000000 Default Value,"$1,128",
34,18-0725-EX1,Transfer from Wendell Phillips Academy High School to Capital/Operations - City Wide,Funds Transfer From Project# 2017-46261-ACD To Award# 2017-485-00-05 ; Change Reason : NA,46261 Wendell Phillips Academy High School,485 CIT PayGo Fund,56310 Capitalized Construction,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,137",
35,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to William H Ryder Math & Science Specialty ES,"Supply labor and materials to remove old window air conditioner 24,500 BTU, and caulk. build 10' high scaffolding.
maximo# 8416241",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,25191 William H Ryder Math & Science Specialty ES,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,"$1,140",
36,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to Facility Opers & Maint - City Wide,To create PO to cover invoices through June 2018 for IFM (Non-Custodial),11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,55005 Property - Equipment,266418 Technology Purchases,000000 Default Value,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,54105 Services: Non-technical/Laborer,254002 Engineer Services,000000 Default Value,"$1,144",
37,18-0725-EX1,Transfer from Student Support and Engagement to Annie Keller Regional Gifted Center,Keller K-8 OST Award Program Expansion Staffing Award - 25%,11371 Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,320020 Other After Schools Programs,100101 Out-Of-School-Time Awards,29211 Annie Keller Regional Gifted Center,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,100101 Out-Of-School-Time Awards,"$1,147",
38,18-0725-EX1,Transfer from Student Support and Engagement to Kate S Kellogg Elementary School,Kellogg K-8 OST Award Program Expansion Staffing Award - Medicare - 25%,11371 Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,320020 Other After Schools Programs,100101 Out-Of-School-Time Awards,23971 Kate S Kellogg Elementary School,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,100101 Out-Of-School-Time Awards,"$1,147",
39,18-0725-EX1,Transfer from Student Support and Engagement to Eugene Field Elementary School,Field K-8 OST Award Program Expansion Staffing Award - 25%,11371 Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,320020 Other After Schools Programs,100101 Out-Of-School-Time Awards,23211 Eugene Field Elementary School,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,100101 Out-Of-School-Time Awards,"$1,147",
40,18-0725-EX1,Transfer from Student Support and Engagement to Kate S Kellogg Elementary School,Kellogg K-8 OST Award Program Expansion Staffing Award - 25%,11371 Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,320020 Other After Schools Programs,100101 Out-Of-School-Time Awards,23971 Kate S Kellogg Elementary School,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,100101 Out-Of-School-Time Awards,"$1,147",
41,18-0725-EX1,Transfer from Student Support and Engagement to Annie Keller Regional Gifted Center,Keller K-8 OST Award Program Expansion Staffing Award - 25%,11371 Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,320020 Other After Schools Programs,100101 Out-Of-School-Time Awards,29211 Annie Keller Regional Gifted Center,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,100101 Out-Of-School-Time Awards,"$1,147",
42,18-0725-EX1,Transfer from Neal F Simeon Career Academy High School to Facility Opers & Maint - City Wide,Sweeping unused O&M funds to central office.,53061 Neal F Simeon Career Academy High School,230 Public Building Commission O & M,53405 Commodities - Supplies,254033 O&M South,000000 Default Value,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,53405 Commodities - Supplies,254033 O&M South,000000 Default Value,"$1,148",
43,18-0725-EX1,Transfer from Office of Catholic Schools to St Angela School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,69510 Office of Catholic Schools,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370003 Nonpublic Fine Arts,430202 Nonpublic Inst. & Supp. Serv. - Catholic,69037 St Angela School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370003 Nonpublic Fine Arts,430202 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,150",
44,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to Neal F Simeon Career Academy High School,"Emerency power rodding and hydro-jetting of clogged main sanitary sewer line.
maximo# 8388534",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,53061 Neal F Simeon Career Academy High School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,"$1,150",
45,18-0725-EX1,Transfer from Capital/Operations - City Wide to Thomas Hoyne Elementary School,Funds Transfer From Award# 2018-488-00-06 To Project# 2018-23871-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,23871 Thomas Hoyne Elementary School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$1,155",
46,18-0725-EX1,Transfer from Family & Community Engagement Office to Family & Community Engagement Office,Back to school vendor payments.,14060 Family & Community Engagement Office,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,14060 Family & Community Engagement Office,115 General Education Fund,54125 Services - Professional/Administrative,221229 Back To School Campaign,000000 Default Value,"$1,165",
47,18-0725-EX1,"Transfer from Lincoln Park High School to Magnet, Gifted and IB Programs",Sweep of IB funds per department head request.,46321 Lincoln Park High School,115 General Education Fund,53405 Commodities - Supplies,119029 Ctu Instr. Supplies - Individual Teachers,008005 International Baccalaureate Program,"10845 Magnet, Gifted and IB Programs",115 General Education Fund,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,000000 Default Value,"$1,167",
48,18-0725-EX1,Transfer from Richard Yates Elementary School to Capital/Operations - City Wide,Funds Transfer From Project# 2017-25911-ACD To Award# 2017-485-00-05 ; Change Reason : NA,25911 Richard Yates Elementary School,485 CIT PayGo Fund,54125 Services - Professional/Administrative,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,170",
49,18-0725-EX1,Transfer from Sidney Sawyer Elementary School to Citywide Student Support and Engagement,To open PO for Summer programming at Sawyer.,25231 Sidney Sawyer Elementary School,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,442164 21st Century Community Learning Centers Fy18,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,442164 21st Century Community Learning Centers Fy18,"$1,173",
50,18-0725-EX1,Transfer from Capital/Operations - City Wide to Bowen High School,Funds Transfer From Award# 2018-488-00-08 To Project# 2018-46491-STR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009514 Contingencies,000000 Default Value,46491 Bowen High School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$1,174",
51,18-0725-EX1,Transfer from George Rogers Clark Elementary School to Capital/Operations - City Wide,Funds Transfer From Project# 2017-22191-ACD To Award# 2017-485-00-05 ; Change Reason : NA,22191 George Rogers Clark Elementary School,485 CIT PayGo Fund,54125 Services - Professional/Administrative,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,182",
52,18-0725-EX1,Transfer from Citywide Student Support and Engagement to Carroll-Rosenwald Specialty Elementary School,To cover budget negative,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,442164 21st Century Community Learning Centers Fy18,22571 Carroll-Rosenwald Specialty Elementary School,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,442164 21st Century Community Learning Centers Fy18,"$1,193",
53,18-0725-EX1,Transfer from Office of Student Health & Wellness to Office of Student Health & Wellness,Funds will support travel to APHA conference on behalf of the HIV/STI Prevention Initative. - correcting for account number,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants","54505 Seminar, Fees, Subscriptions, Professional
Memberships",221234 Professional Develop/Curriculum Develp,"580213 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy18",14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",54205 Travel Expense,221234 580213,,"$1,200","Professional Develop/Curriculum Develp
Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy18"
54,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to Robert Lindblom Math & Science Academy HS,"Max. CPS-8415481
Supply Labor and Material to Repair Leaking Pipe in Classroom 220. Leaking is Consistent and Annoying to Students ; Also Repair
Leak in Boileroom Washroom that Supplies Water to Toilet and Sink.",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,46511 Robert Lindblom Math & Science Academy HS,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,"$1,200",
55,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to Nicholas Senn High School,"- Remove and replace 1 1.5¿ 2 million btu on top tap of domestic hot water storage tank #2 due
to valve failure",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254031 O&M North,000000 Default Value,47061 Nicholas Senn High School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254031 O&M North,000000 Default Value,"$1,200",
56,18-0725-EX1,Transfer from Capital/Operations - City Wide to South Shore Intl College Prep High School,Funds Transfer From Award# 2017-485-00-02 To Project# 2016-46631-STR ; Change Reason : NA,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009514 Contingencies,000000 Default Value,46631 South Shore Intl College Prep High School,485 CIT PayGo Fund,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$1,200",
57,18-0725-EX1,Transfer from Roger C Sullivan High School to Capital/Operations - City Wide,Funds Transfer From Project# 2017-46301-ACD To Award# 2017-485-00-05 ; Change Reason : NA,46301 Roger C Sullivan High School,485 CIT PayGo Fund,54125 Services - Professional/Administrative,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,202",
58,18-0725-EX1,Transfer from Wells Community Academy High School to Capital/Operations - City Wide,Funds Transfer From Project# 2017-51071-ACD To Award# 2017-485-00-05 ; Change Reason : NA,51071 Wells Community Academy High School,485 CIT PayGo Fund,54125 Services - Professional/Administrative,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,203",
59,18-0725-EX1,Transfer from Thomas Kelly High School to Capital/Operations - City Wide,Funds Transfer From Project# 2017-46181-ACD To Award# 2017-485-00-05 ; Change Reason : NA,46181 Thomas Kelly High School,485 CIT PayGo Fund,56310 Capitalized Construction,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,009567 All Other,000000 Default Value,"$1,204",
60,18-0725-EX1,Transfer from Office of Catholic Schools to Hales Franciscan High School-B,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,69510 Office of Catholic Schools,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370003 Nonpublic Fine Arts,430202 Nonpublic Inst. & Supp. Serv. - Catholic,69368 Hales Franciscan High School-B,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370003 Nonpublic Fine Arts,430204 Nonpublic Inst. & Supp. Serv. - Christian,"$1,215",
61,18-0725-EX1,Transfer from Daniel S Wentworth Elementary School to Capital/Operations - City Wide,Funds Transfer From Project# 2016-25811-NPL To Award# 2016-485-00-04 ; Change Reason : NA,25811 Daniel S Wentworth Elementary School,485 CIT PayGo Fund,54125 Services - Professional/Administrative,253513 Playlots,000000 Default Value,12150 Capital/Operations - City Wide,485 CIT PayGo Fund,56310 Capitalized Construction,253513 Playlots,000000 Default Value,"$1,231",
62,18-0725-EX1,Transfer from Urban Prep Charter Academy for Young Men - West to Capital/Operations - City Wide,Funds Transfer From Project# 2017-63071-ACD To Award# 2017-486-00-11 ; Change Reason : NA,63071 Urban Prep Charter Academy for Young Men - West,486 CIT Bond Fund,56310 Capitalized Construction,253526 Interior Renovation,000000 Default Value,12150 Capital/Operations - City Wide,486 CIT Bond Fund,56310 Capitalized Construction,009426 All Other,000000 Default Value,"$1,235",
