Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
11,19-0522-EX1,Transfer from Early College and Career - City Wide to Roberto Clemente Community Academy High School,Funds are needed to purchase sanitation certifications for CTE students for Clemente's CTE Culinary Arts program.,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54125 Services - Professional/Administrative,119035 474566,,51091 Roberto Clemente Community Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140505 Culinary Arts,474566 Special Student Needs-C. Perkins Fy19,"$1,000","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy19"
12,19-0522-EX1,Transfer from Office of Student Health & Wellness to Devry University Advantage Academy,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46521 Devry University Advantage Academy,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
13,19-0522-EX1,Transfer from Office of Student Health & Wellness to Multicultural Academy of Scholarship,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,55181 Multicultural Academy of Scholarship,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
14,19-0522-EX1,Transfer from Office of Student Health & Wellness to Kelvyn Park High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46191 Kelvyn Park High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
15,19-0522-EX1,Transfer from Office of Student Health & Wellness to Wells Community Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,51071 Wells Community Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
16,19-0522-EX1,Transfer from Office of Student Health & Wellness to Hyman G Rickover Naval Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,45221 Hyman G Rickover Naval Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
17,19-0522-EX1,Transfer from Office of Student Health & Wellness to Dr Martin Luther King Jr College Prep HS,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46371 Dr Martin Luther King Jr College Prep HS,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
18,19-0522-EX1,Transfer from Office of Student Health & Wellness to Chicago Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46481 Chicago Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
19,19-0522-EX1,Transfer from Office of Student Health & Wellness to David G Farragut Career Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,53091 David G Farragut Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
20,19-0522-EX1,Transfer from Office of Student Health & Wellness to Roberto Clemente Community Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,51091 Roberto Clemente Community Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
21,19-0522-EX1,Transfer from Office of Student Health & Wellness to William J Bogan High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46041 William J Bogan High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
22,19-0522-EX1,Transfer from Office of Student Health & Wellness to Chicago Vocational Career Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,53011 Chicago Vocational Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
23,19-0522-EX1,Transfer from Office of Student Health & Wellness to Sarah E. Goode STEM Academy,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46611 Sarah E. Goode STEM Academy,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
24,19-0522-EX1,Transfer from Office of Student Health & Wellness to John Hancock College Preparatory High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46021 John Hancock College Preparatory High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
25,19-0522-EX1,Transfer from Office of Student Health & Wellness to Back of the Yards IB HS,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46551 Back of the Yards IB HS,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
26,19-0522-EX1,Transfer from Office of Student Health & Wellness to Robert Lindblom Math & Science Academy HS,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46511 Robert Lindblom Math & Science Academy HS,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
27,19-0522-EX1,Transfer from Office of Student Health & Wellness to Walter Payton College Preparatory High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,70020 Walter Payton College Preparatory High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
28,19-0522-EX1,Transfer from Office of Student Health & Wellness to Eric Solorio Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46101 Eric Solorio Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
29,19-0522-EX1,Transfer from Office of Student Health & Wellness to Charles P Steinmetz College Preparatory HS,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46291 Charles P Steinmetz College Preparatory HS,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
30,19-0522-EX1,Transfer from Office of Student Health & Wellness to Roald Amundsen High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46031 Roald Amundsen High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
31,19-0522-EX1,Transfer from Office of Student Health & Wellness to Charles Allen Prosser Career Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,53041 Charles Allen Prosser Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
32,19-0522-EX1,Transfer from Office of Student Health & Wellness to Lake View High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46211 Lake View High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
33,19-0522-EX1,Transfer from Office of Student Health & Wellness to Nicholas Senn High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,47061 Nicholas Senn High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
34,19-0522-EX1,Transfer from Office of Student Health & Wellness to Kenwood Academy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46361 Kenwood Academy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
35,19-0522-EX1,Transfer from Office of Student Health & Wellness to John F Kennedy High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46201 John F Kennedy High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
36,19-0522-EX1,Transfer from Office of Student Health & Wellness to Carl Schurz High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46281 Carl Schurz High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
37,19-0522-EX1,Transfer from Office of Student Health & Wellness to Gurdon S Hubbard High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46341 Gurdon S Hubbard High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
38,19-0522-EX1,Transfer from Office of Student Health & Wellness to Thomas Kelly High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46181 Thomas Kelly High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
39,19-0522-EX1,Transfer from Office of Student Health & Wellness to William Jones College Preparatory High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,47021 William Jones College Preparatory High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
40,19-0522-EX1,Transfer from Office of Student Health & Wellness to Whitney M Young Magnet High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,47101 Whitney M Young Magnet High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
41,19-0522-EX1,Transfer from Office of Student Health & Wellness to Lincoln Park High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46321 Lincoln Park High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
42,19-0522-EX1,Transfer from Office of Student Health & Wellness to William Howard Taft High School,Youth Risk Behavior Survey incentive,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,46311 William Howard Taft High School,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,221077 Cdc Hiv Prevention Pd,580214 Healthy Chicago Public Schools-Yrbs 262006 Fy19,"$1,000",
43,19-0522-EX1,Transfer from Diverse Learner Supports & Services to Diverse Learner Supports & Services,Transfer funds for professional development supplies.,11610 Diverse Learner Supports & Services,114 Special Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,11610 Diverse Learner Supports & Services,114 Special Education Fund,53405 Commodities - Supplies,221234 Professional Develop/Curriculum Develp,000000 Default Value,"$1,000",
44,19-0522-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,CTE HVAC Program Supplies,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,474566 Special Student Needs-C. Perkins Fy19,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,144603 Cte- Construction,474566 Special Student Needs-C. Perkins Fy19,"$1,003",
45,19-0522-EX1,Transfer from Capital/Operations - City Wide to Southeast Area Elementary School,Funds Transfer From Award# 2019-437-00-07 To Project# 2019-22631-PKC ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,22631 Southeast Area Elementary School,437 CIP Series 2018D,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$1,013",
46,19-0522-EX1,Transfer from GFP/Other Private Schools to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,69103 GFP/Other Private Schools,358 Title IV,54125 Services - Professional/Administrative,370007 Nonpublic Homeschool/Other,"440045 Title Iv, Part A - Nonpublic",70140 Independent Schools Of Chicago,358 Title IV,54205 Travel Expense,228950 Federal - Nonpublic Inst (Independent),"440045 Title Iv, Part A - Nonpublic","$1,016",
47,19-0522-EX1,Transfer from Network 9 to Network 9,transferring funds to supply line,02491 Network 9,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,02491 Network 9,115 General Education Fund,53405 Commodities - Supplies,221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,038","10
"
48,19-0522-EX1,Transfer from Grant Funded Programs Office - City Wide to Unity Lutheran East,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430219 Nonpublic Inst. & Supp. Serv. - Catholic,69318 Unity Lutheran East,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370003 Nonpublic Fine Arts,430222 Nonpublic Inst. & Supp. Serv. - Lutheran,"$1,040",
49,19-0522-EX1,Transfer from Grant Funded Programs Office - City Wide to Oakdale Christian Academy,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69556 Oakdale Christian Academy,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370012 Federal - Idea Nonpublic (Christian),462072 Lea Flowthru Instruction - Nonpublic,"$1,050",
50,19-0522-EX1,Transfer from Early College and Career - City Wide to Paul Laurence Dunbar Career Academy High School,For the purchase of CTE Broadcast equipment for Dunbar HS- per Letitia McGee,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,474566 Special Student Needs-C. Perkins Fy19,53021 Paul Laurence Dunbar Career Academy High School,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,140205 Broadcast Technology,474566 Special Student Needs-C. Perkins Fy19,"$1,100",
51,19-0522-EX1,Transfer from Capital/Operations - City Wide to Socorro Sandoval Elementary School,Funds Transfer From Award# 2019-437-00-04 To Project# 2019-26721-BAS ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,253007 Life Safety,000000 Default Value,26721 Socorro Sandoval Elementary School,437 CIP Series 2018D,54125 Services - Professional/Administrative,253007 Life Safety,000000 Default Value,"$1,107",
52,19-0522-EX1,Transfer from Capital/Operations - City Wide to Edison Park Elementary School,Funds Transfer From Award# 2019-437-00-04 To Project# 2019-28081-BAS ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,253007 Life Safety,000000 Default Value,28081 Edison Park Elementary School,437 CIP Series 2018D,54125 Services - Professional/Administrative,253007 Life Safety,000000 Default Value,"$1,107","11
"
53,19-0522-EX1,Transfer from Associated Talmud Torah Of,Chicago to Cheder Lubavitch Hebrew School,69530 Associated Talmud Torah Of Chicago,358 Title IV,54125 Services - Professional/Administrative,228953 Federal - Nonpublic Inst (Jewish),"440045 Title Iv, Part A - Nonpublic",69099 Cheder Lubavitch Hebrew School,358 Title IV,53405 Commodities - Supplies,228953 Federal - Nonpublic Inst (Jewish),"440045 Title Iv, Part A - Nonpublic","$1,110",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs
54,19-0522-EX1,Transfer from Citywide Student Support and Engagement to Information & Technology Services,Transfer for Cityspan,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,266203 Technical Support,"442184 21st Century Community Learning Centers (Cohort
19-Grant 5) Fy19",12510 Information & Technology Services,"324 Miscellaneous Federal, State & Local Grants",53306 Commodities: Software (Non-Instructional),266203 Technical Support,"442184 21st Century Community Learning Centers (Cohort
19-Grant 5) Fy19","$1,122",
