Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
11,19-1211-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer in order to open sub bucket,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,10875 Citywide Student Support and Engagement,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$1,000",
12,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494071 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,70140 Independent Schools Of Chicago,353 Title II - Teacher Quality,53405 Commodities - Supplies,228950 Federal - Nonpublic Inst (Independent),494072 Title Iia - Other Private Supplementary Servc.,"$1,004",
13,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494071 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,70140 Independent Schools Of Chicago,353 Title II - Teacher Quality,54205 Travel Expense,228950 Federal - Nonpublic Inst (Independent),494072 Title Iia - Other Private Supplementary Servc.,"$1,012",
14,19-1211-EX1,Transfer from William H Brown Elementary School to Education General - City Wide,EXPIRED Grant - Transfer funding to contingency.,22351 William H Brown Elementary School,"324 Miscellaneous Federal, State & Local Grants",51330 Benefits Pointer,"290004 General Salary
S Bkt","500309 Magnet Schools Assistance Program (Cpsmsap)
Fy18-19",12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,016",
15,19-1211-EX1,Transfer from YCCS-Youth Connection Leadership Acad HS to Chicago Math and Science Academy Charter School,Behavior consultant services provided by Gorbold Behavior Consulting approved through the FY19 IL-Empower grant.,66629 YCCS-Youth Connection Leadership Acad HS,367 Title I - Comprehensive School Reform,54320 Student Tuition - Charter Schools,119010 Other Instructional Programs,433132 Il-Empower (Cohort 19 - Grant 2) Fy19,66281 Chicago Math and Science Academy Charter School,367 Title I - Comprehensive School Reform,54320 Student Tuition - Charter Schools,211001 Attendance & Social Work,433132 Il-Empower (Cohort 19 - Grant 2) Fy19,"$1,030",
16,19-1211-EX1,Transfer from Language & Cultural Education - City Wide to CICS - Wrightwood,One-time Budget Transfer Charter Payments,11540 Language & Cultural Education - City Wide,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221011 Improvement Of Instruction,490945 Title Iii - Language Acquisition,66381 CICS - Wrightwood,356 ELL & Bilingual Programs,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,490945 Title Iii - Language Acquisition,"$1,040",
17,19-1211-EX1,Transfer from Language & Cultural Education - City Wide to Noble - Gary Comer College Prep,One-time Budget Transfer Charter Payments,11540 Language & Cultural Education - City Wide,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221011 Improvement Of Instruction,490945 Title Iii - Language Acquisition,66146 Noble - Gary Comer College Prep,356 ELL & Bilingual Programs,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,490945 Title Iii - Language Acquisition,"$1,040",
18,19-1211-EX1,Transfer from Carl Schurz High School to Citywide Student Support and Engagement,Aligning to approved grant budget,46281 Carl Schurz High School,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,"$1,041",
19,19-1211-EX1,Transfer from Network 9 to Network 9,transferring funds for conference travel,02491 Network 9,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221080 Aio - Improvement Of Instruction,000000 Default Value,02491 Network 9,115 General Education Fund,54205 Travel Expense,221080 000000,,"$1,050","Aio - Improvement Of Instruction
Default Value"
20,19-1211-EX1,Transfer from Department of JROTC to Marie Sklodowska Curie Metropolitan High School,Transfer needed for the purchase of tee shirts and ribbons.,05261 Department of JROTC,115 General Education Fund,57915 Miscellaneous - Contingent Projects,113119 Rotc - Hs,000000 Default Value,53101 Marie Sklodowska Curie Metropolitan High School,115 General Education Fund,53405 Commodities - Supplies,113119 Rotc - Hs,000901 Other Gen Ed Funded Programs,"$1,060",
21,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Pope John Paul II/Five Holy Martyrs,Transfer funds for approved purchase order requests for Nonpublic Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430235 Nonpublic Inst. & Supp. Serv. - Catholic,69101 Pope John Paul II/Five Holy Martyrs,332 NCLB Title I Regular Fund,53405 Commodities - Supplies,370004 Nonpublic Instructional & Support Services,430235 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,078",
22,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Pope John Paul II/Five Holy Martyrs,Transfer funds for approved purchase order requests for Nonpublic Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430235 Nonpublic Inst. & Supp. Serv. - Catholic,69101 Pope John Paul II/Five Holy Martyrs,332 NCLB Title I Regular Fund,53405 Commodities - Supplies,390007 Nonpublic Community Parent Involvement,430235 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,078",
23,19-1211-EX1,Transfer from Capital/Operations - City Wide to Rodolfo Lozano Bilingual & International Ctr ES,Funds Transfer From Award# 2019-437-00-07 To Project# 2019-24101-PKC ; Change Reason : NA,12150 Capital/Operations - City Wide,437 CIP Series 2018D,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,24101 Rodolfo Lozano Bilingual & International Ctr ES,437 CIP Series 2018D,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$1,090",
24,19-1211-EX1,Transfer from Capital/Operations - City Wide to Countee Cullen Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2020-23891-MCR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,23891 Countee Cullen Elementary School,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$1,100",
25,19-1211-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,Transfer funds for seminar and fees,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221011 Improvement Of Instruction,474567 Special Student Needs-C. Perkins Fy20,"$1,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20"
26,19-1211-EX1,Transfer from Early College and Career - City Wide to Sarah E. Goode STEM Academy,Supplies for STEM program,13727 Early College and Career - City Wide,115 General Education Fund,53305 Instructional Materials (Non-Digital),125023 Stem - Extended Student Learning,008011 Stem Programs,46611 Sarah E. Goode STEM Academy,115 General Education Fund,53405 Commodities - Supplies,125023 Stem - Extended Student Learning,008011 Stem Programs,"$1,100",
27,19-1211-EX1,Transfer from Student Support and Engagement to Andrew Carnegie Elementary School,Carnegie K-8 OST Award Program Admin Award - Full,11371 Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,320020 Other After Schools Programs,000000 Default Value,22551 Andrew Carnegie Elementary School,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000000 Default Value,"$1,112",
28,19-1211-EX1,Transfer from Ira F Aldridge Elementary School to Education General - City Wide,EXPIRED Grant - Transfer funding to contingency.,22641 Ira F Aldridge Elementary School,"324 Miscellaneous Federal, State & Local Grants",53305 Instructional Materials (Non-Digital),119061 Oip - Social Studies,"542133 Distributed Leadership In Opportunity School (Dlos)
Fy19",12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,118",
29,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494071 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69336 Lutheran Education Foundation,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,221022 Federal - Nonpublic Inst (Lutheran),494072 Title Iia - Other Private Supplementary Servc.,"$1,120",
30,19-1211-EX1,Transfer from Early College and Career - City Wide to Southside Occupational Academy High School,SSOC Ag Incentive Purchases,13727 Early College and Career - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,140101 Agricultural Academy,376808 Agriculture Education Fy20,49031 Southside Occupational Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,140101 Agricultural Academy,376808 Agriculture Education Fy20,"$1,127",
31,19-1211-EX1,Transfer from Nutrition Support Services - City Wide to Nutrition Support Services - City Wide,Equipment purchases.,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,57940 Miscellaneous Charges,266203 Technical Support,000000 Default Value,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,55005 Property - Equipment,266203 Technical Support,000000 Default Value,"$1,136",
32,19-1211-EX1,Transfer from Department of JROTC to Spry Community Links High School,Transfer needed drill team and flag accessories.,05261 Department of JROTC,115 General Education Fund,57915 Miscellaneous - Contingent Projects,113119 Rotc - Hs,000000 Default Value,46461 Spry Community Links High School,115 General Education Fund,53405 Commodities - Supplies,113119 Rotc - Hs,000901 Other Gen Ed Funded Programs,"$1,170",
33,19-1211-EX1,Transfer from John Fiske Elementary School to Education General - City Wide,EXPIRED Grant - Transfer funding to contingency.,23221 John Fiske Elementary School,367 Title I - Comprehensive School Reform,53305 Instructional Materials (Non-Digital),119010 Other Instructional Programs,433137 Il-Empower (Cohort 19 - Grant 7) Fy19,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,171",
34,19-1211-EX1,Transfer from Counseling and Postsecondary Advising to Early College and Career - City Wide,Funds that dropped due to expenditure swap,10850 Counseling and Postsecondary Advising,369 Title I - School Improvement Carl Perkins,57305 Hospitalization & Dental Insurance - Employer,212013 Counseling & Guidance Services,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,172",
35,19-1211-EX1,Transfer from Acero Charter Schools - Carlos Fuentes to Education General - City Wide,EXPIRED Grant - Transfer funding to contingency.,66393 Acero Charter Schools - Carlos Fuentes,367 Title I - Comprehensive School Reform,54320 Student Tuition - Charter Schools,211001 Attendance & Social Work,433140 Il-Empower (Cohort 19 - Grant 10) Fy19,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,200",
36,19-1211-EX1,Transfer from Language & Cultural Education - City Wide to Polaris Charter Academy,One-time Budget Transfer Charter Payments,11540 Language & Cultural Education - City Wide,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221011 Improvement Of Instruction,490945 Title Iii - Language Acquisition,67081 Polaris Charter Academy,356 ELL & Bilingual Programs,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,490945 Title Iii - Language Acquisition,"$1,248",
37,19-1211-EX1,Transfer from Teaching and Learning Office to John M Harlan Community Academy High School,Transfer to cover the cost of hosting Debate tournament,10810 Teaching and Learning Office,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,51021 John M Harlan Community Academy High School,115 General Education Fund,57705 Services - Space Rental,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,250",
38,19-1211-EX1,Transfer from Teaching and Learning Office to Michele Clark Academic Prep Magnet High School,Transfer to cover the cost of hosting Debate tournament,10810 Teaching and Learning Office,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,41051 Michele Clark Academic Prep Magnet High School,115 General Education Fund,57705 Services - Space Rental,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,250",
39,19-1211-EX1,Transfer from Teaching and Learning Office to South Loop Elementary School,Transfer to cover cost of hosting middle school debate tournament,10810 Teaching and Learning Office,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,23751 South Loop Elementary School,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,250",
40,19-1211-EX1,Transfer from Teaching and Learning Office to James Hedges Elementary School,transfer to cover the cost of hosting middle school Debate tournament,10810 Teaching and Learning Office,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,23681 James Hedges Elementary School,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,250",
41,19-1211-EX1,Transfer from Teaching and Learning Office to Helen Peirce International Studies ES,transfer to cover the cost of hosting middle school Debate tournament,10810 Teaching and Learning Office,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,24891 Helen Peirce International Studies ES,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,250",
42,19-1211-EX1,Transfer from Teaching and Learning Office to West Park Elementary Academy,transfer to cover the cost of hosting middle school Debate tournament,10810 Teaching and Learning Office,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,24721 West Park Elementary Academy,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,250",
43,19-1211-EX1,Transfer from Department of JROTC to Albert G Lane Technical High School,Transfer needed for the purchase of cadet unit cords.,05261 Department of JROTC,115 General Education Fund,57915 Miscellaneous - Contingent Projects,113119 Rotc - Hs,000000 Default Value,46221 Albert G Lane Technical High School,115 General Education Fund,53405 Commodities - Supplies,113119 Rotc - Hs,000901 Other Gen Ed Funded Programs,"$1,260",
44,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Arie Crown School,Transfer funds for approved purchase order requests for Nonpublic Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430235 Nonpublic Inst. & Supp. Serv. - Catholic,69591 Arie Crown School,332 NCLB Title I Regular Fund,54130 Services - Non Professional,300013 Non-Public Professional Development,430239 Nonpublic Inst. & Supp. Serv. - Jewish,"$1,275",
45,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Hillel Torah,Transfer funds for approved purchase order requests for Nonpublic Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430235 Nonpublic Inst. & Supp. Serv. - Catholic,69595 Hillel Torah,332 NCLB Title I Regular Fund,54130 Services - Non Professional,300013 Non-Public Professional Development,430239 Nonpublic Inst. & Supp. Serv. - Jewish,"$1,275",
46,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to St Bede The Venerable School,Transfer funds for approved purchase order requests for Nonpublic Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430235 Nonpublic Inst. & Supp. Serv. - Catholic,69053 St Bede The Venerable School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430235 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,290",
47,19-1211-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,To pay for recruitment supplies for CPFTA.,13727 Early College and Career - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,140060 Police And Fire Training - Voc,100398 Chicago Police And Fire Academy Training Program,13727 Early College and Career - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,140060 Police And Fire Training - Voc,100398 Chicago Police And Fire Academy Training Program,"$1,291",
48,19-1211-EX1,Transfer from Principal Quality to John H Hamline Elementary School,innovation funds disbursement,02541 Principal Quality,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 070901,,23511 John H Hamline Elementary School,124 School Special Income Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221234 Professional Develop/Curriculum Develp,070901 Executive Principals Program,"$1,300","Grants-Citywide Misc Fndtns
Executive Principals Program"
49,19-1211-EX1,Transfer from Arts to Education General - City Wide,EXPIRED Grant - Transfer funding to contingency.,10890 Arts,336 NCLB Title V Fund,54215 Car Fare,221011 Improvement Of Instruction,500025 Project Cultivate Fy19,12670 Education General - City Wide,336 NCLB Title V Fund,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,315",
50,19-1211-EX1,Transfer from Language & Cultural Education - City Wide to CICS - Longwood,One-time Budget Transfer Charter Payments,11540 Language & Cultural Education - City Wide,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221011 Improvement Of Instruction,490945 Title Iii - Language Acquisition,66061 CICS - Longwood,356 ELL & Bilingual Programs,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,490945 Title Iii - Language Acquisition,"$1,352",
51,19-1211-EX1,Transfer from Language & Cultural Education - City Wide to Hope Learning Academy,One-time Budget Transfer Charter Payments,11540 Language & Cultural Education - City Wide,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221011 Improvement Of Instruction,490945 Title Iii - Language Acquisition,63031 Hope Learning Academy,356 ELL & Bilingual Programs,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,490945 Title Iii - Language Acquisition,"$1,352",
52,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494071 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,54205 Travel Expense,228958 Federal - Nonpublic Inst (Catholic),494071 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,353",
53,19-1211-EX1,Transfer from Early College and Career - City Wide to North-Grand High School,CTE Culinary Arts program Equipment,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46431 North-Grand High School,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,140505 Culinary Arts,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,370",
54,19-1211-EX1,Transfer from Early College and Career - City Wide to Michele Clark Academic Prep Magnet High School,Student Transportation for STEM program,13727 Early College and Career - City Wide,115 General Education Fund,54210 Pupil Transportation,125023 Stem - Extended Student Learning,008011 Stem Programs,41051 Michele Clark Academic Prep Magnet High School,115 General Education Fund,54210 Pupil Transportation,125023 Stem - Extended Student Learning,008011 Stem Programs,"$1,375",
55,19-1211-EX1,Transfer from Grant Funded Programs Office - City Wide to Heritage Leadership Academy,Transfer funds for approved purchase order requests for Nonpublic Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430235 Nonpublic Inst. & Supp. Serv. - Catholic,69605 Heritage Leadership Academy,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370003 Nonpublic Fine Arts,430237 Nonpublic Inst. & Supp. Serv. - Christian,"$1,380",
56,19-1211-EX1,Transfer from Northside College Preparatory High School to Education General - City Wide,Sweeping Funds for Fund 124 Reimbursable Funds,46061 Northside College Preparatory High School,124 School Special Income Fund,51330 Benefits Pointer,290001 General Salary S Bkt,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,402",
57,19-1211-EX1,Transfer from Jacqueline B Vaughn Occupational High School to School Transportation - City Wide,For 1000 CPS 2 Ride Limited Use Ticket - RITM0347347,49081 Jacqueline B Vaughn Occupational High School,115 General Education Fund,54210 Pupil Transportation,140070 Career Employment Preparation,000576 Supplemental Aid,11940 School Transportation - City Wide,115 General Education Fund,54210 Pupil Transportation,255052 General Transportation Services,000576 Supplemental Aid,"$1,428",
58,19-1211-EX1,Transfer from YCCS-Truman Middle College HS to Education General - City Wide,EXPIRED Grant - Transfer funding to contingency.,66625 YCCS-Truman Middle College HS,367 Title I - Comprehensive School Reform,54320 Student Tuition - Charter Schools,119010 Other Instructional Programs,433132 Il-Empower (Cohort 19 - Grant 2) Fy19,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,435",
59,19-1211-EX1,Transfer from Early College and Career - City Wide to Chicago Vocational Career Academy High School,To Purchase Supplies for CVCA Ag Incentive Grant,13727 Early College and Career - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,140101 Agricultural Academy,376808 Agriculture Education Fy20,53011 Chicago Vocational Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,140101 Agricultural Academy,376808 Agriculture Education Fy20,"$1,441",
60,19-1211-EX1,Transfer from Language & Cultural Education - City Wide to Noble - Butler College Prep,One-time Budget Transfer Charter Payments,11540 Language & Cultural Education - City Wide,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221011 Improvement Of Instruction,490945 Title Iii - Language Acquisition,66576 Noble - Butler College Prep,356 ELL & Bilingual Programs,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,490945 Title Iii - Language Acquisition,"$1,456",
