Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
11,19-0123-EX1,Transfer from Independent Schools Of Chicago to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,70140 Independent Schools Of Chicago,358 Title IV,53305 Instructional Materials (Non-Digital),228950 Federal - Nonpublic Inst (Independent),"440043 Title Iv, Part A - Nonpublic",12670 Education General - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,001",
12,19-0123-EX1,Transfer from Network 11 to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,02511 Network 11,367 Title I - Comprehensive School Reform,"57110 Pensions - Employer, Teacher Federally Funded",221080 Aio - Improvement Of Instruction,433124 Title I School Improvement Grant- (Soss) Fy18,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,005",
13,19-0123-EX1,Transfer from Access and Enrollment to Access and Enrollment,benefits for project manager bucket,11201 Access and Enrollment,115 General Education Fund,52100 Career Service Salaries - Regular,419001 Payroll Salvage,000000 Default Value,11201 Access and Enrollment,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,007",
14,19-0123-EX1,Transfer from Acero Charter Schools - Officer Donald J. Marquez to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66397 Acero Charter Schools - Officer Donald J. Marquez,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,119031 Nclb Current Year Allocation,430201 Title 1 - School Discretionary,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,008",
15,19-0123-EX1,"
Transfer from CICS - Prairie to Education General - City Wide",EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66161 CICS - Prairie,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,119031 Nclb Current Year Allocation,430201 Title 1 - School Discretionary,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,026",
16,19-0123-EX1,Transfer from Early Childhood Development - City Wide to Other Government Funded,Clearing negative budget line.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 376669,,12694 Other Government Funded,362 Early Childhood Development,51140 Termination Payout of Sick & Vacation Days Teachers,111041 Arts - Elementary,376669 State Preschool For All Age 3-5 Fy19,"$1,028","Prek Instruction
State Preschool For All Age 3-5 Fy19"
17,19-0123-EX1,Transfer from Charles R Henderson Elementary School to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,23721 Charles R Henderson Elementary School,332 NCLB Title I Regular Fund,53405 Commodities - Supplies,390030 Parent Training,430210 Mandated Parent Involvement,12670 Education General - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,067",
18,19-0123-EX1,Transfer from Uplift Community High School to Education General - City Wide,FY18 School payment for the purchase of ventra cards between 2/1/2018 - 6/30/2018,26861 Uplift Community High School,124 School Special Income Fund,53405 Commodities - Supplies,290003 Miscellaneous General Charges,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,085","4
"
19,19-0123-EX1,"
Transfer from Great Lakes Academy Charter School to Education General - City Wide",EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66951 Great Lakes Academy Charter School,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,119031 Nclb Current Year Allocation,430201 Title 1 - School Discretionary,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,087",
20,19-0123-EX1,Transfer from William Jones College Preparatory High School to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,47021 William Jones College Preparatory High School,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,141501 Cte - Project Lead The Way,"322022 Career & Technical Educ. Improvement Grant (Ctei)
Fy18",12670 Education General - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,097",
21,19-0123-EX1,Transfer from Grant Funded Programs Office - City Wide to University of Chicago Laboratory Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69157 University of Chicago Laboratory Schools,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370011 Federal - Idea Nonpublic ( Independent),462072 Lea Flowthru Instruction - Nonpublic,"$1,100",
22,19-0123-EX1,Transfer from George W Curtis Elementary School to Capital/Operations - City Wide,Funds Transfer From Project# 2019-23061-BAS To Award# 2019-437-00-04 ; Change Reason : NA,23061 George W Curtis Elementary School,437 EBF-Backed Bonds,56304 Capitalized Software,253007 Life Safety,000000 Default Value,12150 Capital/Operations - City Wide,437 EBF-Backed Bonds,56310 Capitalized Construction,253007 Life Safety,000000 Default Value,"$1,107","5
"
23,19-0123-EX1,"
Transfer from Capital/Operations - City Wide to George W Curtis Elementary School",Funds Transfer From Award# 2019-437-00-04 To Project# 2019-23061-BAS ; Change Reason : NA,12150 Capital/Operations - City Wide,437 EBF-Backed Bonds,56310 Capitalized Construction,253007 Life Safety,000000 Default Value,23061 George W Curtis Elementary School,437 EBF-Backed Bonds,56302 Capitalized Equipment,253007 Life Safety,000000 Default Value,"$1,107",
24,19-0123-EX1,Transfer from Early Childhood Development - City Wide to Barbara Vick Early Childhood & Family Center,Transfer of funds needed for diapers and wipes.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,53405 Commodities - Supplies,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,26731 Barbara Vick Early Childhood & Family Center,362 Early Childhood Development,53405 Commodities - Supplies,111048 Early Childhood 3-4,376669 State Preschool For All Age 3-5 Fy19,"$1,125",
25,19-0123-EX1,Transfer from Capital/Operations - City Wide to John B Murphy Elementary School,Funds Transfer From Award# 2019-437-00-15 To Project# 2018-24621-SIT ; Change Reason : NA,12150 Capital/Operations - City Wide,437 EBF-Backed Bonds,56310 Capitalized Construction,009514 Contingencies,000000 Default Value,24621 John B Murphy Elementary School,437 EBF-Backed Bonds,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$1,162",
26,19-0123-EX1,Transfer from Instituto - Justice Lozano to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66921 Instituto - Justice Lozano,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,390030 Parent Training,430210 Mandated Parent Involvement,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,168",
27,19-0123-EX1,Transfer from North Lawndale College Prep - Collins to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66092 North Lawndale College Prep - Collins,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,119031 Nclb Current Year Allocation,430201 Title 1 - School Discretionary,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,170","6
"
28,19-0123-EX1,"
Transfer from Early Childhood Development - City Wide to Other Government Funded",Clearing negative budget line.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,12694 Other Government Funded,362 Early Childhood Development,"57205 Pensions - Employee, ESP",254608 School Security Personnel,376669 State Preschool For All Age 3-5 Fy19,"$1,183",
29,19-0123-EX1,Transfer from Gwendolyn Brooks College Preparatory Academy HS to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,47051 Gwendolyn Brooks College Preparatory Academy HS,332 NCLB Title I Regular Fund,53405 Commodities - Supplies,390030 Parent Training,430210 Mandated Parent Involvement,12670 Education General - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,186",
30,19-0123-EX1,Transfer from Education General - City Wide to Network 1,Adjustment for non-union COLA 2019,12670 Education General - City Wide,115 General Education Fund,51100 Teacher Salaries - Regular,419001 Payroll Salvage,000000 Default Value,02411 Network 1,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,191",
31,19-0123-EX1,Transfer from Capital/Operations - City Wide to Cesar E Chavez Multicultural Academic Center ES,Funds Transfer From Award# 2017-486-00-02 To Project# 2017-25151-WIN ; Change Reason : NA,12150 Capital/Operations - City Wide,486 CIT Bond Fund,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,25151 Cesar E Chavez Multicultural Academic Center ES,486 CIT Bond Fund,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$1,191","7
"
32,19-0123-EX1,"
Transfer from Office of Catholic Schools to Education General - City Wide",EXPIRED GRANT SWEEP - Transfer available funding to contingency.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",228958 Federal - Nonpublic Inst (Catholic),494063 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,12670 Education General - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,600002 410008,,"$1,195","Contingency For Project Expansion
Contingency For Project Expan"
33,19-0123-EX1,Transfer from Kwame Nkrumah Academy Charter School to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,63041 Kwame Nkrumah Academy Charter School,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,390030 Parent Training,430210 Mandated Parent Involvement,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,197",
34,19-0123-EX1,Transfer from Capital/Operations - City Wide to Northside Learning Center High School,Funds Transfer From Award# 2019-437-00-04 To Project# 2019-49021-BAS ; Change Reason : NA,12150 Capital/Operations - City Wide,437 EBF-Backed Bonds,56310 Capitalized Construction,253007 Life Safety,000000 Default Value,49021 Northside Learning Center High School,437 EBF-Backed Bonds,56304 Capitalized Software,009518 Aramark Ifm - Cip,000000 Default Value,"$1,200",
35,19-0123-EX1,Transfer from Office of Student Health & Wellness to Office of Student Health & Wellness,Carryover of Y1 funds onto Printing line,14050 Office of Student Health & Wellness,124 School Special Income Fund,54215 Car Fare,261008 Children And Family Benefits Unit,000379 Cff - Pritzker Foundation / Opening Doors Initiative,14050 Office of Student Health & Wellness,124 School Special Income Fund,54520 Services - Printing,261008 Children And Family Benefits Unit,000379 Cff - Pritzker Foundation / Opening Doors Initiative,"$1,200",
36,19-0123-EX1,"
Transfer from Capital/Operations - City Wide to Back of the Yards IB HS",Funds Transfer From Award# 2019-437-00-04 To Project# 2019-46551-BAS ; Change Reason : NA,12150 Capital/Operations - City Wide,437 EBF-Backed Bonds,56310 Capitalized Construction,253007 Life Safety,000000 Default Value,46551 Back of the Yards IB HS,437 EBF-Backed Bonds,56304 Capitalized Software,253007 Life Safety,000000 Default Value,"$1,200",
37,19-0123-EX1,Transfer from L.E.A.R.N. - Middle School Campus to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66567 L.E.A.R.N. - Middle School Campus,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,119031 Nclb Current Year Allocation,430201 Title 1 - School Discretionary,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,215",
38,19-0123-EX1,Transfer from L.E.A.R.N. - Middle School Campus to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66567 L.E.A.R.N. - Middle School Campus,353 Title II - Teacher Quality,54320 Student Tuition - Charter Schools,221307 Staff Development,494062 Title Iia - Teacher Quality,12670 Education General - City Wide,353 Title II - Teacher Quality,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,494066 Title Iia - Teacher Quality,"$1,239",
39,19-0123-EX1,Transfer from Visitation Campus School to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,69296 Visitation Campus School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430202 Nonpublic Inst. & Supp. Serv. - Catholic,12670 Education General - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,240",
40,19-0123-EX1,Transfer from Perspectives - High School of Technology to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66053 Perspectives - High School of Technology,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,119031 Nclb Current Year Allocation,430201 Title 1 - School Discretionary,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,243",
41,19-0123-EX1,"
Transfer from Edward Beasley Elementary Magnet Academic Center to Education General - City Wide",EXPIRED GRANT SWEEP - Transfer available funding to contingency.,29321 Edward Beasley Elementary Magnet Academic Center,332 NCLB Title I Regular Fund,53405 Commodities - Supplies,390030 Parent Training,430210 Mandated Parent Involvement,12670 Education General - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,243",
42,19-0123-EX1,Transfer from North Lawndale College Prep - Christiana to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66091 North Lawndale College Prep - Christiana,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,390030 Parent Training,430210 Mandated Parent Involvement,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,246",
43,19-0123-EX1,Transfer from Early Childhood Development - City Wide to Other Government Funded,Clearing negative budget line.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 Prek Instruction,376649 State Preschool For All Age 3-5 Diverse Learners Fy19,12694 Other Government Funded,362 Early Childhood Development,52500 Career Service Salaries - Substitutes,121401 Early Childhood Special Education Pre-K,376649 State Preschool For All Age 3-5 Diverse Learners Fy19,"$1,247",
44,19-0123-EX1,Transfer from Capital/Operations - City Wide to Stone Elementary Scholastic Academy,Funds Transfer From Award# 2019-437-00-17 To Project# 2019-29291-ODR ; Change Reason : NA,12150 Capital/Operations - City Wide,437 EBF-Backed Bonds,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,29291 Stone Elementary Scholastic Academy,437 EBF-Backed Bonds,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$1,250",
45,19-0123-EX1,Transfer from Capital/Operations - City Wide to Chicago Military Academy High School,Funds Transfer From Award# 2019-437-00-19 To Project# 2019-70070-ODR ; Change Reason : NA,12150 Capital/Operations - City Wide,437 EBF-Backed Bonds,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,70070 Chicago Military Academy High School,437 EBF-Backed Bonds,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$1,250","10
"
46,19-0123-EX1,"
Transfer from George H Corliss High School to Education General - City Wide",FY18 School payment for the purchase of ventra cards between 2/1/2018 - 6/30/2018,46391 George H Corliss High School,124 School Special Income Fund,53405 Commodities - Supplies,290003 Miscellaneous General Charges,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,250",
47,19-0123-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,250",
48,19-0123-EX1,Transfer from Talent Office to Talent Office,To update PN 474910 to Sr. Manager - Talent,11010 Talent Office,115 General Education Fund,54125 Services - Professional/Administrative,262005 Educator Effectiveness,000000 Default Value,11010 Talent Office,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,250",
49,19-0123-EX1,Transfer from Department of JROTC to Lake View High School,Transfer needed to purchase JROTC supplies.,05261 Department of JROTC,115 General Education Fund,57915 Miscellaneous - Contingent Projects,113119 Rotc - Hs,000000 Default Value,46211 Lake View High School,115 General Education Fund,53405 Commodities - Supplies,113119 Rotc - Hs,000901 Other Gen Ed Funded Programs,"$1,272",
50,19-0123-EX1,Transfer from Early Childhood Development - City Wide to Other Government Funded,Clearing negative budget line.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,12694 Other Government Funded,362 Early Childhood Development,57405 Medicare,230010 Administrative Support,376669 State Preschool For All Age 3-5 Fy19,"$1,276",
51,19-0123-EX1,"
Transfer from Grant Funded Programs Office - City Wide to Telshe Yeshiva High School A",Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69433 Telshe Yeshiva High School A,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370013 Federal - Idea Nonpublic (Jewish),462072 Lea Flowthru Instruction - Nonpublic,"$1,280",
52,19-0123-EX1,Transfer from Grant Funded Programs Office - City Wide to Cheder Lubavitch Hebrew School,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69099 Cheder Lubavitch Hebrew School,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370013 Federal - Idea Nonpublic (Jewish),462072 Lea Flowthru Instruction - Nonpublic,"$1,280",
53,19-0123-EX1,Transfer from Grant Funded Programs Office - City Wide to Akiba Jewish Day School,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69343 Akiba Jewish Day School,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370013 Federal - Idea Nonpublic (Jewish),462072 Lea Flowthru Instruction - Nonpublic,"$1,280",
54,19-0123-EX1,Transfer from Grant Funded Programs Office - City Wide to Yeshiva Ohr Baruch,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69047 Yeshiva Ohr Baruch,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370013 Federal - Idea Nonpublic (Jewish),462072 Lea Flowthru Instruction - Nonpublic,"$1,280",
55,19-0123-EX1,Transfer from Grant Funded Programs Office - City Wide to Cheder Lubavitch Hebrew School,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69099 Cheder Lubavitch Hebrew School,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370013 Federal - Idea Nonpublic (Jewish),462072 Lea Flowthru Instruction - Nonpublic,"$1,280",
56,19-0123-EX1,"
Transfer from Grant Funded Programs Office - City Wide to Hanna Sachs Bias Yaakov",High School Of Chicago,12625 Grant Funded Programs Office - City Wide,220,57915,370004 462072,,"69141 Hanna Sachs Bias Yaakov
High School Of
Chicago",220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370013 Federal - Idea Nonpublic (Jewish),462072 Lea Flowthru Instruction - Nonpublic,"$1,280","Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programsFederal Special Education IDEA Programs
Miscellaneous - Contingent Projects
Nonpublic Instructional & Support Services
Lea Flowthru Instruction - Nonpublic"
57,19-0123-EX1,Transfer from Grant Funded Programs Office - City Wide to Akiba Jewish Day School,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69343 Akiba Jewish Day School,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370013 Federal - Idea Nonpublic (Jewish),462072 Lea Flowthru Instruction - Nonpublic,"$1,280",
58,19-0123-EX1,Transfer from Grant Funded Programs Office - City Wide to Yeshivas Tiferes TZVI,Transfer funds to process approved purchase order requests for Nonpublic Schools IDEA programs,12625 Grant Funded Programs Office - City Wide,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,462072 Lea Flowthru Instruction - Nonpublic,69442 Yeshivas Tiferes TZVI,220 Federal Special Education IDEA Programs,54125 Services - Professional/Administrative,370013 Federal - Idea Nonpublic (Jewish),462072 Lea Flowthru Instruction - Nonpublic,"$1,280",
59,19-0123-EX1,Transfer from Early College and Career - City Wide to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54520 Services - Printing,221011 Improvement Of Instruction,474565 Special Student Needs-C. Perkins Fy18,12670 Education General - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,296",
60,19-0123-EX1,"
Transfer from Early Childhood Development - City Wide to Other Government Funded",Clearing negative budget line.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,12694 Other Government Funded,362 Early Childhood Development,57405 Medicare,111041 Arts - Elementary,376669 State Preschool For All Age 3-5 Fy19,"$1,297",
