Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
11,19-0828-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,000",
12,19-0828-EX1,Transfer from Grant Funded Programs Office - City Wide to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"440045 Title Iv, Part A - Nonpublic",70140 Independent Schools Of Chicago,358 Title IV,54125 Services - Professional/Administrative,228950 Federal - Nonpublic Inst (Independent),"440045 Title Iv, Part A - Nonpublic","$1,000",
13,19-0828-EX1,Transfer from Law Office to Law Office,OEE hearings expense.,10210 Law Office,115 General Education Fund,54125 Services - Professional/Administrative,231006 Employee Engagement,000000 Default Value,10210 Law Office,115 General Education Fund,53405 Commodities - Supplies,231006 Employee Engagement,000000 Default Value,"$1,000",
14,19-0828-EX1,Transfer from Title I and School Improvement Programs to George Manierre Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433136 Il-Empower (Cohort 19 - Grant 6) Fy19","Transfer To:
24311 George Manierre Elementary School
367 Title I - Comprehensive School Reform
53305 Instructional Materials (Non-Digital)
223013 Assessments/Standards
433136 Il-Empower (Cohort 19 - Grant 6) Fy19",,,,,,,,,,,"$1,000",
15,19-0828-EX1,Transfer from Title I and School Improvement Programs to Benjamin E Mays Elementary Academy,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011
433138","Improvement Of Instruction
Il-Empower (Cohort 19 - Grant 8) Fy19",,,,,,26321 Benjamin E Mays Elementary Academy,367 Title I - Comprehensive School Reform,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221011 Improvement Of Instruction,433138 Il-Empower (Cohort 19 - Grant 8) Fy19,"$1,000",
16,19-0828-EX1,Transfer from Title I and School Improvement Programs to Paul Cuffe Math-Science Technology Academy ES,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433138 Il-Empower (Cohort 19 - Grant 8) Fy19
Amount: $1,000","Transfer To:
23881 Paul Cuffe Math-Science Technology Academy ES
367 Title I - Comprehensive School Reform
55005 Property - Equipment
119010 Other Instructional Programs
433138 Il-Empower (Cohort 19 - Grant 8) Fy19",,,,,,,,,,,,
17,19-0828-EX1,Transfer from Title I and School Improvement Programs to Matthew Gallistel Elementary Language Academy,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433139 Il-Empower (Cohort 19 - Grant 9) Fy19","Transfer To:
29091 Matthew Gallistel Elementary Language Academy
367 Title I - Comprehensive School Reform
53305 Instructional Materials (Non-Digital)
119010 Other Instructional Programs
433139 Il-Empower (Cohort 19 - Grant 9) Fy19",,,,,,,,,,,"$1,000",
18,19-0828-EX1,Transfer from Title I and School Improvement Programs to Leslie Lewis Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433131 Il-Empower (Cohort 19 - Grant 1) Fy19","Transfer To:
24151 Leslie Lewis Elementary School
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433131 Il-Empower (Cohort 19 - Grant 1) Fy19",,,,,,,,,,,"$1,000",
19,19-0828-EX1,Transfer from Title I and School Improvement Programs to Thomas Chalmers Specialty Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011
433131","Improvement Of Instruction
Il-Empower (Cohort 19 - Grant 1) Fy19",,,,,,22671 Thomas Chalmers Specialty Elementary School,367 Title I - Comprehensive School Reform,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221011 Improvement Of Instruction,433131 Il-Empower (Cohort 19 - Grant 1) Fy19,"$1,000",
20,19-0828-EX1,Transfer from Title I and School Improvement Programs to Julia Ward Howe Elementary School of Excellence,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011
433131","Improvement Of Instruction
Il-Empower (Cohort 19 - Grant 1) Fy19",,,,,,23851 Julia Ward Howe Elementary School of Excellence,367 Title I - Comprehensive School Reform,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221011 Improvement Of Instruction,433131 Il-Empower (Cohort 19 - Grant 1) Fy19,"$1,000",
21,19-0828-EX1,Transfer from Title I and School Improvement Programs to Edward Tilden Career Community Academy HS,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433134 Il-Empower (Cohort 19 - Grant 4) Fy19","Transfer To:
53121 Edward Tilden Career Community Academy HS
367 Title I - Comprehensive School Reform
53304 Instructional Materials (Digital)
119010 Other Instructional Programs
433134 Il-Empower (Cohort 19 - Grant 4) Fy19",,,,,,,,,,,"$1,000",
22,19-0828-EX1,Transfer from Title I and School Improvement Programs to Benjamin E Mays Elementary Academy,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433138 Il-Empower (Cohort 19 - Grant 8) Fy19","Transfer To:
26321 Benjamin E Mays Elementary Academy
367 Title I - Comprehensive School Reform
53305 Instructional Materials (Non-Digital)
119010 Other Instructional Programs
433138 Il-Empower (Cohort 19 - Grant 8) Fy19",,,,,,,,,,,"$1,000",
23,19-0828-EX1,Transfer from Title I and School Improvement Programs to Burnham Elementary Inclusive Academy,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433133 Il-Empower (Cohort 19 - Grant 3) Fy19","Transfer To:
22431 Burnham Elementary Inclusive Academy
367 Title I - Comprehensive School Reform
53304 Instructional Materials (Digital)
119010 Other Instructional Programs
433133 Il-Empower (Cohort 19 - Grant 3) Fy19",,,,,,,,,,,"$1,000",
24,19-0828-EX1,Transfer from Title I and School Improvement Programs to Benjamin E Mays Elementary Academy,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433138 Il-Empower (Cohort 19 - Grant 8) Fy19
Amount: $1,000","Transfer To:
26321 Benjamin E Mays Elementary Academy
367 Title I - Comprehensive School Reform
53304 Instructional Materials (Digital)
119010 Other Instructional Programs
433138 Il-Empower (Cohort 19 - Grant 8) Fy19",,,,,,,,,,,,
25,19-0828-EX1,Transfer from Grant Funded Programs Office - City Wide to Associated Talmud Torah Of,Chicago,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,54130 Services - Non Professional,228953 Federal - Nonpublic Inst (Jewish),494068 Title Iia - Other Private Supplementary Servc.,"$1,000",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs
26,19-0828-EX1,"Transfer from Magnet, Gifted and IB Programs to William H Brown Elementary School",Transfer of funds for summer programming,"10845 Magnet, Gifted and IB Programs","324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,233015 Magnet School Program,"500309 Magnet Schools Assistance Program (Cpsmsap)
Fy18-19",22351 William H Brown Elementary School,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,"500309 Magnet Schools Assistance Program (Cpsmsap)
Fy18-19","$1,000",
27,19-0828-EX1,"Transfer from Magnet, Gifted and IB Programs to William H Brown Elementary School",Transfer of funds for summer programming,"10845 Magnet, Gifted and IB Programs","324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,233015 Magnet School Program,"500309 Magnet Schools Assistance Program (Cpsmsap)
Fy18-19",22351 William H Brown Elementary School,"324 Miscellaneous Federal, State & Local Grants",51330 Benefits Pointer,290001 General Salary S Bkt,"500309 Magnet Schools Assistance Program (Cpsmsap)
Fy18-19","$1,000",
28,19-0828-EX1,Transfer from Department of JROTC to Department of JROTC,Transfer needed to purchase books.,05261 Department of JROTC,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221227 Curriculum Development,000000 Default Value,05261 Department of JROTC,115 General Education Fund,53305 Instructional Materials (Non-Digital),221227 000000,,"$1,000","Curriculum Development
Default Value"
29,19-0828-EX1,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,430219 Nonpublic Inst. & Supp. Serv. - Catholic,69336 Lutheran Education Foundation,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,370004 Nonpublic Instructional & Support Services,430222 Nonpublic Inst. & Supp. Serv. - Lutheran,"$1,000",
30,19-0828-EX1,Transfer from Diverse Learner Supports & Services to Diverse Learner Quality Instruction,FY19 Grant Extension,11610 Diverse Learner Supports & Services,220 Federal Special Education IDEA Programs,57915 Miscellaneous - Contingent Projects,221234 Professional Develop/Curriculum Develp,460526 Preschool Discretionary (Starnet) Fy19,11674 Diverse Learner Quality Instruction,220 Federal Special Education IDEA Programs,54205 Travel Expense,221234 Professional Develop/Curriculum Develp,460526 Preschool Discretionary (Starnet) Fy19,"$1,000",
31,19-0828-EX1,Transfer from Title I and School Improvement Programs to Pilsen Elementary Community Academy,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433137 Il-Empower (Cohort 19 - Grant 7) Fy19","Transfer To:
31141 Pilsen Elementary Community Academy
367 Title I - Comprehensive School Reform
53305 Instructional Materials (Non-Digital)
221011 Improvement Of Instruction
433137 Il-Empower (Cohort 19 - Grant 7) Fy19",,,,,,,,,,,"$1,005",
32,19-0828-EX1,Transfer from Citywide Student Support and Engagement to Spencer Technology Academy,Aligning to approved SCS Summer Budget,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,25441 Spencer Technology Academy,115 General Education Fund,"57205 Pensions - Employee, ESP",231002 Academic Support Services,000044 Ctu Sustainable Schools Initiative,"$1,008",
33,19-0828-EX1,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"440045 Title Iv, Part A - Nonpublic",69336 Lutheran Education Foundation,358 Title IV,53405 Commodities - Supplies,221022 Federal - Nonpublic Inst (Lutheran),"440045 Title Iv, Part A - Nonpublic","$1,011",
34,19-0828-EX1,Transfer from Citywide Student Support and Engagement to Oscar DePriest Elementary School,Aligning to approved SCS Summer budget,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,26631 Oscar DePriest Elementary School,115 General Education Fund,55005 Property - Equipment,119035 Other Instruction Purposes - Miscellaneous,000044 Ctu Sustainable Schools Initiative,"$1,014",
35,19-0828-EX1,Transfer from Early College and Career - City Wide to Neal F Simeon Career Academy High School,CTE Accounting Program Supplies,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,"322023 Career & Technical Educ. Improvement Grant (Ctei)
Fy19",53061 Neal F Simeon Career Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,149005 Accounting,"322023 Career & Technical Educ. Improvement Grant (Ctei)
Fy19","$1,016",
36,19-0828-EX1,Transfer from Title I and School Improvement Programs to Durkin Park Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433138 Il-Empower (Cohort 19 - Grant 8) Fy19
Amount: $1,025","Transfer To:
26831 Durkin Park Elementary School
367 Title I - Comprehensive School Reform
53405 Commodities - Supplies
221011 Improvement Of Instruction
433138 Il-Empower (Cohort 19 - Grant 8) Fy19",,,,,,,,,,,,
37,19-0828-EX1,Transfer from Title I and School Improvement Programs to Jacob Beidler Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433140 Il-Empower (Cohort 19 - Grant 10) Fy19","Transfer To:
22211 Jacob Beidler Elementary School
367 Title I - Comprehensive School Reform
53405 Commodities - Supplies
119010 Other Instructional Programs
433140 Il-Empower (Cohort 19 - Grant 10) Fy19",,,,,,,,,,,"$1,029",
38,19-0828-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Air Force Academy High School,"Freshman Connections funds for student transportation, including Enrichment Activities school allocation and 1/2 student based
allocation.",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399929 Healthy Communities Investments 19-3999,45231 Air Force Academy High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399929 Healthy Communities Investments 19-3999,"$1,031",
39,19-0828-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Air Force Academy High School,Freshman Connections funds for Enrichment activities school allocation and 1/2 student based allocation.,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,45231 Air Force Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,031",
40,19-0828-EX1,Transfer from Title I and School Improvement Programs to Jesse Owens Elementary Community Academy,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433139 Il-Empower (Cohort 19 - Grant 9) Fy19
Amount: $1,048","Transfer To:
23351 Jesse Owens Elementary Community Academy
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433139 Il-Empower (Cohort 19 - Grant 9) Fy19",,,,,,,,,,,,
41,19-0828-EX1,Transfer from Title I and School Improvement Programs to Edward E. Sadlowski Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433139 Il-Empower (Cohort 19 - Grant 9) Fy19","Transfer To:
22631 Edward E. Sadlowski Elementary School
367 Title I - Comprehensive School Reform
53304 Instructional Materials (Digital)
119010 Other Instructional Programs
433139 Il-Empower (Cohort 19 - Grant 9) Fy19",,,,,,,,,,,"$1,054",
42,19-0828-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Wells Community Academy High School,Freshman Connections funds for Enrichment activities school allocation and 1/2 student based allocation.,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,51071 Wells Community Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,063",
43,19-0828-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Wells Community Academy High School,"Freshman Connections funds for student transportation, including Enrichment Activities school allocation and 1/2 student based
allocation.",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399929 Healthy Communities Investments 19-3999,51071 Wells Community Academy High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399929 Healthy Communities Investments 19-3999,"$1,063",
44,19-0828-EX1,Transfer from Grant Funded Programs Office - City Wide to Associated Talmud Torah Of,Chicago,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,54205 Travel Expense,228953 Federal - Nonpublic Inst (Jewish),494068 Title Iia - Other Private Supplementary Servc.,"$1,068",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs
45,19-0828-EX1,Transfer from Early College and Career - City Wide to Legal Prep Charter Academy,Substitute Coverage for CTE Law Program at Legal Prep Charter,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57940 Miscellaneous Charges,119035 Other Instruction Purposes - Miscellaneous,474566 Special Student Needs-C. Perkins Fy19,66641 Legal Prep Charter Academy,369 Title I - School Improvement Carl Perkins,54320 Student Tuition - Charter Schools,221011 Improvement Of Instruction,474566 Special Student Needs-C. Perkins Fy19,"$1,080",
46,19-0828-EX1,Transfer from Title I and School Improvement Programs to Adlai E Stevenson Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433138 Il-Empower (Cohort 19 - Grant 8) Fy19","Transfer To:
25471 Adlai E Stevenson Elementary School
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433138 Il-Empower (Cohort 19 - Grant 8) Fy19",,,,,,,,,,,"$1,080",
47,19-0828-EX1,Transfer from Title I and School Improvement Programs to James Russell Lowell Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433136 Il-Empower (Cohort 19 - Grant 6) Fy19","Transfer To:
24251 James Russell Lowell Elementary School
367 Title I - Comprehensive School Reform
53405 Commodities - Supplies
221011 Improvement Of Instruction
433136 Il-Empower (Cohort 19 - Grant 6) Fy19",,,,,,,,,,,"$1,083",
48,19-0828-EX1,Transfer from Title I and School Improvement Programs to James Monroe Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433136 Il-Empower (Cohort 19 - Grant 6) Fy19
Amount: $1,089","Transfer To:
24531 James Monroe Elementary School
367 Title I - Comprehensive School Reform
53405 Commodities - Supplies
119010 Other Instructional Programs
433136 Il-Empower (Cohort 19 - Grant 6) Fy19",,,,,,,,,,,,
49,19-0828-EX1,Transfer from Title I and School Improvement Programs to John Greenleaf Whittier Elementary School,"Remaining FY19 IL-Empower non-personnel funds reloaded to fulfill requirements of grant which allows spending until August 31st
",,,,,,,,,,,,
2019,19-0828-EX1,"Transfer From:
13740 Title I and School Improvement Programs
367 Title I - Comprehensive School Reform
54125 Services - Professional/Administrative
221011 Improvement Of Instruction
433140 Il-Empower (Cohort 19 - Grant 10) Fy19","Transfer To:
25861 John Greenleaf Whittier Elementary School
367 Title I - Comprehensive School Reform
53405 Commodities - Supplies
119010 Other Instructional Programs
433140 Il-Empower (Cohort 19 - Grant 10) Fy19",,,,,,,,,,,"$1,097",
